dual_column_web_5_0p5_4_StaCompre
status: successful
density: 0.123163402973
strain_length: 5.0
stress_area: 25.0
Node RIGIDPLATE-2.226 Node RIGIDPLATE-2.226
                  X               _temp_3     

                0.                 0.         
                3.73446E-06        1.48558E-03
               29.7235E-06        11.001E-03  
               99.1982E-06        36.2041E-03 
              232.925E-06         84.5921E-03 
              452.145E-06        163.823E-03  
              774.361E-06        280.235E-03  
                1.22135E-03      441.697E-03  
                1.80729E-03      653.349E-03  
                2.55509E-03      923.496E-03  
                3.47506E-03        1.25592    
                4.59186E-03        1.65959    
                5.91133E-03        2.13671    
                7.46046E-03        2.69715    
                9.24004E-03        3.34135    
               11.28E-03           4.0803     
               13.5756E-03         4.91252    
               16.1601E-03         5.85034    
               19.023E-03          6.89016    
               22.2014E-03         8.0459     
               25.6783E-03         9.31172    
               29.4953E-03        10.7032     
               33.6478E-03        12.2192     
               38.1245E-03        13.8561     
               42.9744E-03        15.6326     
               48.1629E-03        17.5364     
               53.7444E-03        19.5884     
               59.6766E-03        21.7738     
               66.0195E-03        24.1156     
               72.7541E-03        26.6077     
               79.8538E-03        29.241      
               87.3875E-03        32.0418     
               95.2933E-03        34.9868     
              103.646E-03         38.1025     
              112.376E-03         41.3491     
              121.565E-03         44.7109     
              131.134E-03         48.0423     
              141.172E-03         51.3152     
              151.639E-03         54.4009     
              162.487E-03         57.276      
              173.816E-03         59.804      
              185.525E-03         62.0265     
              197.72E-03          63.7912     
              210.292E-03         64.4503     
              223.355E-03         65.0993     
              236.791E-03         67.074      
              250.719E-03         67.0659     
              265.015E-03         68.2542     
              279.804E-03         68.9593     
              294.954E-03         69.4777     
              310.526E-03         70.3514     
              326.591E-03         70.9202     
              343.002E-03         71.4951     
              359.903E-03         72.4333     
              377.14E-03          72.6219     
              394.863E-03         73.6553     
              412.909E-03         73.9454     
              431.437E-03         74.5999     
              450.275E-03         75.2701     
              469.501E-03         75.5713     
              489.197E-03         76.2124     
              509.183E-03         76.6982     
              529.631E-03         77.09       
              550.353E-03         77.6672     
              571.528E-03         78.1221     
              592.96E-03          78.5696     
              614.834E-03         79.122      
              636.948E-03         79.6058     
              659.392E-03         80.0894     
              682.26E-03          80.6588     
              705.341E-03         81.1975     
              728.833E-03         81.7198     
              752.518E-03         82.298      
              776.6E-03           82.8884     
              800.856E-03         83.4636     
              825.494E-03         84.0564     
              850.285E-03         84.6735     
              875.329E-03         85.287      
              900.731E-03         85.8979     
              926.255E-03         86.521      
              952.119E-03         87.1544     
              978.084E-03         87.7874     
                1.00437           88.3925     
                1.03074           88.9787     
                1.05741           89.5556     
                1.08413           90.0623     
                1.11114           90.2322     
                1.13831           89.5675     
                1.1655            89.6477     
                1.19294           88.6328     
                1.2205            89.3547     
                1.24818           89.8728     
                1.27583           90.5827     
                1.3037            91.0891     
                1.33165           91.5783     
                1.35953           92.1386     
                1.3876            92.6615     
                1.41572           93.1238     
                1.44374           93.5511     
                1.4719            93.8079     
                1.50009           92.9004     
                1.52828           93.6409     
                1.55632           93.8525     
                1.58447           94.2167     
                1.61259           94.5464     
                1.64053           95.0893     
                1.66854           95.384      
                1.69645           95.9147     
                1.72423           96.4894     
                1.75193           96.9512     
                1.77963           97.787      
                1.80714           98.2225     
                1.83444           98.6114     
                1.86174           98.9935     
                1.88884           99.3169     
                1.91581           99.6476     
                1.94256           99.9889     
                1.96913          100.11       
                1.99564          100.442      
                2.02187          100.797      
                2.0479           101.359      
                2.07365          101.746      
                2.09928          102.276      
                2.12464          103.052      
                2.14975          103.543      
                2.17457          104.08       
                2.19918          104.39       
                2.22347          105.117      
                2.2475           106.177      
                2.27122          107.09       
                2.29465          107.915      
                2.31782          108.775      
                2.34061          109.511      
                2.36313          110.679      
                2.38527          111.056      
                2.4071           111.536      
                2.42857          113.071      
                2.44968          114.273      
                2.47042          115.132      
                2.49085          116.364      
                2.51086          116.994      
                2.53053          118.367      
                2.54983          119.224      
                2.56872          119.254      
                2.58724          120.189      
                2.60534          120.573      
                2.62301          121.376      
                2.64029          121.26       
                2.65718          121.322      
                2.67359          117.612      
                2.68961          119.299      
                2.70522          110.592      
                2.72041          114.356      
                2.73519          115.583      
                2.74952          118.694      
                2.76342          118.945      
                2.77691          119.038      
                2.78993          119.622      
                2.80254          119.786      
                2.81473          117.994      
                2.82644          119.108      
                2.83778          119.092      
                2.84861          119.689      
                2.85906          119.833      
                2.8691           119.265      
                2.87868          119.788      
                2.88784          117.387      
                2.89659          115.166      
                2.90491          118.838      
                2.91283          120.574      
                2.92037          120.3        
                2.9275           120.714      
                2.93424          122.002      
                2.9406           122.345      
                2.94653          123.416      
                2.95207          121.446      
                2.95726          123.989      
                2.96209          121.758      
                2.96658          121.631      
                2.97073          123.215      
                2.97455          125.316      
                2.97804          125.17       
                2.98123          125.334      
                2.98411          125.653      
                2.9867           126.006      
                2.98901          126.386      
                2.99105          126.576      
                2.99284          126.886      
                2.99438          126.437      
                2.99569          126.744      
                2.9968           127.664      
                2.99772          127.143      
                2.99846          127.353      
                2.99905          127.421      
                2.99949          127.491      
                2.99981          127.267      
                3.00003          127.4        
                3.00016          127.545      
                3.00023          127.498      
                3.00025          127.516      
                3.00025          127.521      




