mid_braced_column_5_0p5_4_StaCompre
status: successful
density: 0.0829341904102
strain_length: 5.0
stress_area: 25.0
Node RIGIDPLATE-2.226 Node RIGIDPLATE-2.226
                  X               _temp_3     

                0.                 0.         
                3.74375E-06      756.192E-06  
               29.5872E-06         5.07802E-03
               99.39E-06          16.6149E-03 
              233.37E-06          38.571E-03  
              451.832E-06         74.3162E-03 
              774.24E-06         127.033E-03  
                1.22171E-03      200.114E-03  
                1.80852E-03      295.979E-03  
                2.55393E-03      417.735E-03  
                3.47491E-03      568.169E-03  
                4.59319E-03      750.933E-03  
                5.91464E-03      966.925E-03  
                7.4589E-03         1.21951    
                9.24053E-03        1.51108    
               11.2831E-03         1.84558    
               13.582E-03          2.2224     
               16.1584E-03         2.64508    
               19.0246E-03         3.11582    
               22.2071E-03         3.63916    
               25.6888E-03         4.2124     
               29.4937E-03         4.83983    
               33.6511E-03         5.52643    
               38.1335E-03         6.26801    
               42.9676E-03         7.06928    
               48.1619E-03         7.93194    
               53.75E-03           8.86205    
               59.6897E-03         9.85295    
               66.0121E-03        10.9103     
               72.7543E-03        12.0408     
               79.8625E-03        13.2359     
               87.3712E-03        14.5021     
               95.3218E-03        15.847      
              103.648E-03         17.2599     
              112.389E-03         18.7483     
              121.589E-03         20.3204     
              131.171E-03         21.9634     
              141.176E-03         23.6543     
              151.656E-03         25.3201     
              162.518E-03         26.7733     
              173.81E-03          28.1129     
              185.586E-03         29.3497     
              197.742E-03         30.4833     
              210.33E-03          31.5182     
              223.35E-03          32.409      
              236.802E-03         32.8886     
              250.747E-03         32.2985     
              265.061E-03         29.8605     
              279.803E-03         27.1998     
              294.97E-03          27.9606     
              310.562E-03         30.4293     
              326.646E-03         30.1262     
              343.078E-03         26.7597     
              359.925E-03         26.0652     
              377.183E-03         28.7049     
              394.848E-03         28.0329     
              412.997E-03         25.0624     
              431.465E-03         26.4042     
              450.327E-03         27.3911     
              469.576E-03         24.8297     
              489.209E-03         25.1337     
              509.309E-03         26.2476     
              529.692E-03         24.2505     
              550.44E-03          24.5076     
              571.546E-03         25.1027     
              593.004E-03         23.4613     
              614.905E-03         24.0422     
              637.047E-03         23.9551     
              659.519E-03         22.8486     
              682.313E-03         23.5725     
              705.422E-03         22.8089     
              728.943E-03         22.5723     
              752.658E-03         22.8422     
              776.663E-03         21.8353     
              800.948E-03         22.3589     
              825.506E-03         21.8736     
              850.327E-03         21.5213     
              875.515E-03         21.7288     
              900.835E-03         21.0518     
              926.391E-03         21.364      
              952.171E-03         20.8425     
              978.168E-03         20.7851     
                1.00449           20.7136     
                1.03089           20.3954     
                1.05747           20.4383     
                1.08423           20.0659     
                1.11115           20.114      
                1.13835           19.8531     
                1.16557           19.8027     
                1.19292           19.573      
                1.2204            19.5381     
                1.24799           19.3579     
                1.2758            19.2909     
                1.30358           19.1289     
                1.33143           18.9814     
                1.35935           18.9507     
                1.38733           18.751      
                1.41548           18.7701     
                1.44354           18.5315     
                1.47162           18.5307     
                1.49971           18.3406     
                1.5278            18.3318     
                1.55601           18.1456     
                1.58406           18.1548     
                1.61209           17.9639     
                1.64006           17.9486     
                1.66799           17.8219     
                1.69596           17.7312     
                1.72374           17.6703     
                1.75143           17.5654     
                1.77902           17.4817     
                1.80649           17.4279     
                1.83384           17.2853     
                1.86119           17.2704     
                1.88826           17.1338     
                1.91519           17.0839     
                1.94194           16.9908     
                1.96853           16.9094     
                1.99504           16.8251     
                2.02124           16.7669     
                2.04724           16.6587     
                2.07302           16.6        
                2.09857           16.5072     
                2.12401           16.4353     
                2.14908           16.3511     
                2.1739            16.2872     
                2.19846           16.1912     
                2.22274           16.1363     
                2.24685           16.0478     
                2.27057           15.9742     
                2.29398           15.9011     
                2.31709           15.8266     
                2.33988           15.7401     
                2.36245           15.6732     
                2.38459           15.5861     
                2.40639           15.4905     
                2.42785           15.417      
                2.44896           15.3265     
                2.46979           15.2401     
                2.49017           15.1455     
                2.51018           15.086      
                2.52981           14.9919     
                2.54906           14.9178     
                2.56801           14.8456     
                2.58647           14.7828     
                2.60454           14.7065     
                2.62219           14.6548     
                2.6395            14.6246     
                2.65639           14.5655     
                2.67283           14.5282     
                2.68881           14.4934     
                2.70445           14.4889     
                2.71963           14.5779     
                2.73438           14.7005     
                2.74871           14.7217     
                2.76261           14.7907     
                2.77607           14.9006     
                2.78914           15.0073     
                2.80173           15.076      
                2.8139            15.1807     
                2.8256            15.2473     
                2.83689           15.3175     
                2.84773           15.3581     
                2.85817           15.4474     
                2.86815           15.4759     
                2.87773           15.5364     
                2.88689           15.5803     
                2.89562           15.6318     
                2.90394           15.6662     
                2.91184           15.7076     
                2.91935           15.7399     
                2.92644           15.7588     
                2.93316           15.7945     
                2.93947           15.8199     
                2.94541           15.8376     
                2.95096           15.8536     
                2.95615           15.8725     
                2.96099           15.89       
                2.96546           15.8954     
                2.9696            15.9138     
                2.9734            15.9165     
                2.97688           15.9364     
                2.98004           15.9353     
                2.98291           15.9468     
                2.98548           15.9495     
                2.98777           15.9575     
                2.98981           15.9582     
                2.99159           15.965      
                2.99313           15.9838     
                2.99445           15.9966     
                2.99556           16.0162     
                2.99648           16.0267     
                2.99723           16.0362     
                2.99781           16.0427     
                2.99825           16.0492     
                2.99858           16.0531     
                2.9988            16.0551     
                2.99893           16.0572     
                2.999             16.0567     
                2.99902           16.0584     
                2.99902           16.057      




