PSCZ_pillar_steepcross_5_0p588_4_StaCompre
status: successful
density: 0.23544405711
strain_length: 5.0
stress_area: 25.0
Node RIGIDPLATE-2.170 Node RIGIDPLATE-2.170
                  X               _temp_3     

                0.                 0.         
                3.74417E-06      607.988E-06  
               29.7291E-06         1.8184E-03 
               99.1218E-06         4.29156E-03
              233.413E-06          8.33611E-03
              451.489E-06         14.7708E-03 
              774.88E-06          24.1294E-03 
                1.22181E-03       36.7225E-03 
                1.80765E-03       53.1637E-03 
                2.55533E-03       73.9513E-03 
                3.4751E-03        99.5361E-03 
                4.59164E-03      130.381E-03  
                5.91067E-03      166.644E-03  
                7.45928E-03      209.35E-03   
                9.24669E-03      258.384E-03  
               11.2772E-03       314.008E-03  
               13.5826E-03       377.079E-03  
               16.1551E-03       447.351E-03  
               19.0299E-03       525.837E-03  
               22.2081E-03       612.265E-03  
               25.6845E-03       706.831E-03  
               29.5009E-03       810.496E-03  
               33.6333E-03       922.409E-03  
               38.1284E-03         1.04404    
               42.9549E-03         1.17435    
               48.1648E-03         1.31484    
               53.7452E-03         1.46488    
               59.6759E-03         1.62401    
               66.0175E-03         1.79396    
               72.7196E-03         1.97296    
               79.8485E-03         2.16293    
               87.3805E-03         2.36314    
               95.2841E-03         2.5727     
              103.635E-03          2.79346    
              112.363E-03          3.02337    
              121.549E-03          3.26485    
              131.116E-03          3.51538    
              141.151E-03          3.77726    
              151.615E-03          4.04943    
              162.461E-03          4.3305     
              173.786E-03          4.62298    
              185.492E-03          4.92389    
              197.683E-03          5.23621    
              210.309E-03          5.55818    
              223.31E-03           5.88807    
              236.801E-03          6.22819    
              250.726E-03          6.57711    
              265.083E-03          6.93445    
              279.802E-03          7.29619    
              295.015E-03          7.66783    
              310.653E-03          8.04449    
              326.642E-03          8.42707    
              343.122E-03          8.8169     
              360.019E-03          9.2102     
              377.251E-03          9.61006    
              394.968E-03         10.0129     
              413.09E-03          10.4219     
              431.613E-03         10.8312     
              450.446E-03         11.2426     
              469.753E-03         11.656      
              489.445E-03         12.0701     
              509.425E-03         12.4839     
              529.867E-03         12.8981     
              550.676E-03         13.3107     
              571.846E-03         13.7191     
              593.272E-03         14.1255     
              615.14E-03          14.5306     
              637.347E-03         14.9284     
              659.785E-03         15.3197     
              682.647E-03         15.712      
              705.825E-03         16.0977     
              729.205E-03         16.4745     
              752.99E-03          16.8463     
              777.065E-03         17.2151     
              801.424E-03         17.5755     
              825.944E-03         17.925      
              850.839E-03         18.267      
              875.989E-03         18.6042     
              901.271E-03         18.9329     
              926.902E-03         19.2504     
              952.76E-03          19.5606     
              978.834E-03         19.8636     
                1.005             20.1586     
                1.03147           20.4437     
                1.05814           20.7201     
                1.08485           20.9873     
                1.11186           21.2498     
                1.13902           21.5041     
                1.16632           21.7485     
                1.19363           21.9828     
                1.22119           22.2112     
                1.24886           22.4342     
                1.2765            22.648      
                1.30436           22.8532     
                1.3323            23.051      
                1.36018           23.2421     
                1.38824           23.429      
                1.41635           23.6094     
                1.44449           23.7826     
                1.47253           23.9487     
                1.5007            24.1092     
                1.52888           24.2653     
                1.55692           24.4144     
                1.58506           24.5576     
                1.61316           24.6945     
                1.64117           24.8272     
                1.66907           24.9682     
                1.697             25.1119     
                1.72475           25.2386     
                1.75251           25.3606     
                1.78016           25.4706     
                1.80761           25.5968     
                1.83502           25.7355     
                1.86227           25.862      
                1.8894            25.9904     
                1.9163            26.0929     
                1.94304           26.1824     
                1.96959           26.3131     
                1.99604           26.3987     
                2.02221           26.52       
                2.04818           26.5976     
                2.07394           26.7017     
                2.09947           26.8123     
                2.12483           26.8555     
                2.14988           26.9564     
                2.17468           27.0505     
                2.19922           27.1273     
                2.22349           27.2008     
                2.24755           27.2749     
                2.27128           27.3463     
                2.29475           27.401      
                2.31788           27.4946     
                2.3407            27.5505     
                2.36321           27.6415     
                2.38535           27.7261     
                2.40715           27.7679     
                2.42865           27.8297     
                2.44976           27.9215     
                2.47056           27.9432     
                2.49099           28.0207     
                2.51101           28.1155     
                2.53064           28.4203     
                2.54989           29.5121     
                2.56878           31.8881     
                2.58726           36.0783     
                2.60532           41.7274     
                2.623             48.0212     
                2.64024           54.1589     
                2.65714           61.0069     
                2.67364           67.7216     
                2.68961           75.9548     
                2.7052            84.0204     
                2.72037           93.2245     
                2.73513          101.951      
                2.74947          110.41       
                2.7634           119.         
                2.77692          127.665      
                2.78999          136.596      
                2.80261          145.353      
                2.81472          154.986      
                2.8264           164.129      
                2.83765          172.919      
                2.84848          181.878      
                2.85887          191.123      
                2.86884          200.285      
                2.87844          208.777      
                2.88765          217.112      
                2.89644          225.693      
                2.90481          234.143      
                2.91276          241.112      
                2.92031          247.892      
                2.92746          254.696      
                2.9342           260.561      
                2.94054          266.29       
                2.9465           272.577      
                2.95209          277.083      
                2.9573           282.879      
                2.96215          287.061      
                2.96664          291.347      
                2.97079          294.875      
                2.97461          297.432      
                2.9781           301.35       
                2.98127          304.359      
                2.98413          307.129      
                2.98671          309.662      
                2.98902          311.649      
                2.99105          312.859      
                2.99283          314.834      
                2.99439          316.498      
                2.9957           317.835      
                2.99682          318.757      
                2.99774          319.479      
                2.99848          320.393      
                2.99907          320.991      
                2.99951          321.48       
                2.99983          321.824      
                3.00006          321.994      
                3.00019          322.048      
                3.00026          322.196      
                3.00026          322.2        
                3.00026          322.211      




