twin_offset_web_5_0p5_4_StaCompre
status: successful
density: 0.0835812047619
strain_length: 5.0
stress_area: 25.0
Node RIGIDPLATE-2.226 Node RIGIDPLATE-2.226
                  X               _temp_3     

                0.                 0.         
                3.73895E-06      805.574E-06  
               29.5922E-06         5.24371E-03
               99.0158E-06        16.8615E-03 
              233.541E-06         39.215E-03  
              452.242E-06         75.4342E-03 
              775.027E-06        128.807E-03  
                1.22074E-03      202.462E-03  
                1.80761E-03      299.403E-03  
                2.55322E-03      422.536E-03  
                3.47886E-03      575.416E-03  
                4.59311E-03      759.481E-03  
                5.91529E-03      977.939E-03  
                7.46055E-03        1.23336    
                9.24347E-03        1.52821    
               11.278E-03          1.86485    
               13.5776E-03         2.2456     
               16.155E-03          2.67269    
               19.0354E-03         3.15038    
               22.206E-03          3.67671    
               25.6897E-03         4.25562    
               29.497E-03          4.88902    
               33.6379E-03         5.57877    
               38.1219E-03         6.32665    
               42.9794E-03         7.13795    
               48.1776E-03         8.00744    
               53.7445E-03         8.94       
               59.6874E-03         9.93714    
               66.0134E-03        11.0003     
               72.7288E-03        12.1306     
               79.8709E-03        13.3347     
               87.3845E-03        14.6033     
               95.3042E-03        15.9423     
              103.635E-03         17.3522     
              112.38E-03          18.8335     
              121.583E-03         20.3927     
              131.17E-03          22.0038     
              141.182E-03         23.6196     
              151.62E-03          25.1144     
              162.487E-03         26.3044     
              173.833E-03         27.1851     
              185.563E-03         27.6858     
              197.726E-03         27.8077     
              210.321E-03         27.6984     
              223.348E-03         27.56       
              236.865E-03         27.4197     
              250.757E-03         27.1683     
              265.078E-03         26.8367     
              279.827E-03         26.5163     
              295.003E-03         26.1344     
              310.67E-03          25.6996     
              326.692E-03         25.3818     
              343.133E-03         25.0855     
              359.989E-03         24.6825     
              377.256E-03         24.3453     
              395.006E-03         23.9612     
              413.085E-03         23.6434     
              431.563E-03         23.387      
              450.435E-03         23.0754     
              469.695E-03         22.7925     
              489.422E-03         22.5008     
              509.445E-03         22.2196     
              529.838E-03         21.9607     
              550.597E-03         21.7405     
              571.715E-03         21.5018     
              593.184E-03         21.3086     
              615.093E-03         21.0677     
              637.246E-03         20.9094     
              659.73E-03          20.721      
              682.537E-03         20.5465     
              705.658E-03         20.4011     
              729.187E-03         20.2197     
              752.914E-03         20.0792     
              776.932E-03         19.9331     
              801.231E-03         19.7865     
              825.802E-03         19.6614     
              850.742E-03         19.5297     
              875.832E-03         19.4002     
              901.166E-03         19.2721     
              926.736E-03         19.155      
              952.53E-03          19.0424     
              978.652E-03         18.9281     
                1.00487           18.8162     
                1.03128           18.7044     
                1.05788           18.61       
                1.08465           18.5024     
                1.11171           18.3926     
                1.1388            18.3071     
                1.16603           18.2179     
                1.1934            18.1309     
                1.2209            18.0419     
                1.24862           17.945      
                1.27632           17.8689     
                1.30411           17.8        
                1.33198           17.7217     
                1.35992           17.647      
                1.38803           17.5741     
                1.41607           17.5126     
                1.44414           17.4522     
                1.47224           17.392      
                1.50034           17.3316     
                1.52845           17.2695     
                1.55667           17.2163     
                1.58474           17.1657     
                1.61278           17.1192     
                1.64077           17.0743     
                1.66871           17.0274     
                1.6967            16.9808     
                1.72449           16.9374     
                1.75219           16.8965     
                1.77979           16.857      
                1.80729           16.8239     
                1.83477           16.7866     
                1.86201           16.7522     
                1.8891            16.717      
                1.91604           16.6798     
                1.94281           16.6445     
                1.96952           16.6079     
                1.99593           16.5714     
                2.02215           16.5288     
                2.04816           16.4809     
                2.07395           16.426      
                2.09963           16.3474     
                2.12496           16.2556     
                2.15005           16.1582     
                2.17488           16.057      
                2.19945           15.9788     
                2.22385           15.9123     
                2.24787           15.8547     
                2.2716            15.8094     
                2.29502           15.7703     
                2.31814           15.7379     
                2.34105           15.7078     
                2.36353           15.6825     
                2.38568           15.6625     
                2.4075            15.6411     
                2.42896           15.6237     
                2.45008           15.6107     
                2.47093           15.595      
                2.49132           15.5813     
                2.51134           15.5725     
                2.53098           15.561      
                2.55024           15.5528     
                2.56919           15.5466     
                2.58767           15.5354     
                2.60574           15.5299     
                2.62342           15.5257     
                2.64068           15.5163     
                2.65761           15.5107     
                2.67405           15.5073     
                2.69007           15.4997     
                2.70566           15.4936     
                2.72084           15.4913     
                2.73565           15.4871     
                2.74997           15.4795     
                2.76386           15.4782     
                2.77732           15.4769     
                2.79034           15.4719     
                2.80299           15.4685     
                2.81515           15.4689     
                2.82688           15.4674     
                2.83817           15.4631     
                2.84904           15.4641     
                2.85952           15.4655     
                2.86953           15.4623     
                2.87911           15.4621     
                2.88828           15.465      
                2.89702           15.4662     
                2.90539           15.4638     
                2.9133            15.4667     
                2.92081           15.4715     
                2.92792           15.4703     
                2.93464           15.4706     
                2.94098           15.4989     
                2.94691           15.5277     
                2.95248           15.5555     
                2.95768           15.5793     
                2.96252           15.6195     
                2.96701           15.639      
                2.97115           15.6614     
                2.97497           15.6913     
                2.97845           15.7001     
                2.98162           15.7179     
                2.9845            15.7345     
                2.98708           15.7486     
                2.98938           15.7583     
                2.99142           15.7709     
                2.99321           15.7778     
                2.99475           15.785      
                2.99608           15.7903     
                2.99719           15.7966     
                2.99812           15.803      
                2.99886           15.806      
                2.99945           15.809      
                2.9999            15.8106     
                3.00022           15.8125     
                3.00044           15.8144     
                3.00057           15.815      
                3.00066           15.816      
                3.00066           15.8144     
                3.00066           15.8159     




