dual_column_web_5_0p5_4_DynaCompre_50
status: successful
density: 0.123163402973
strain_length: 5.0
stress_area: 25.0
Node RIGIDPLATE-2.226 Node RIGIDPLATE-2.226
                  X               _temp_3     

                0.                 0.         
                5.15274E-06        4.40394E-03
               40.3509E-06        19.7164E-03 
              132.261E-06         55.3987E-03 
              311.614E-06        122.471E-03  
              604.553E-06        230.72E-03   
                1.03733E-03      389.006E-03  
                1.63535E-03      607.056E-03  
                2.42313E-03      893.763E-03  
                3.4058E-03         1.25058    
                4.63923E-03        1.69864    
                6.13062E-03        2.23944    
                7.90121E-03        2.88199    
                9.97141E-03        3.63337    
               12.3608E-03         4.5006     
               15.0399E-03         5.47432    
               18.1173E-03         6.59299    
               21.5678E-03         7.84886    
               25.4078E-03         9.24817    
               29.653E-03         10.7971     
               34.3186E-03        12.5022     
               39.3302E-03        14.3367     
               44.8709E-03        16.3686     
               50.8724E-03        18.5741     
               57.3467E-03        20.9582     
               64.3053E-03        23.5268     
               71.759E-03         26.2851     
               79.5808E-03        29.1868     
               88.0454E-03        32.3353     
               97.0329E-03        35.6861     
              106.552E-03         39.2382     
              116.609E-03         42.9561     
              127.211E-03         46.7424     
              138.175E-03         50.4044     
              149.876E-03         53.9722     
              162.14E-03          57.3304     
              174.969E-03         60.2448     
              188.369E-03         62.9429     
              202.342E-03         65.2903     
              216.643E-03         67.2708     
              231.759E-03         68.853      
              247.455E-03         69.8696     
              263.731E-03         70.3709     
              280.587E-03         70.5973     
              298.024E-03         70.8154     
              315.735E-03         70.9423     
              334.32E-03          70.9093     
              353.483E-03         71.3311     
              373.22E-03          72.3718     
              393.529E-03         73.9214     
              414.408E-03         75.0063     
              435.49E-03          75.7028     
              457.486E-03         75.5052     
              480.039E-03         75.4087     
              503.145E-03         76.2242     
              526.797E-03         77.4655     
              550.991E-03         78.5494     
              575.304E-03         78.5816     
              600.552E-03         78.4831     
              626.322E-03         79.2646     
              652.607E-03         80.4192     
              679.399E-03         81.3942     
              706.689E-03         81.3183     
              734.002E-03         81.7973     
              762.256E-03         82.5601     
              790.982E-03         83.8105     
              820.172E-03         84.2598     
              849.815E-03         84.9009     
              879.901E-03         85.5706     
              909.908E-03         86.5206     
              940.843E-03         87.2401     
              972.19E-03          87.8926     
                1.00394           88.6241     
                1.03607           89.3958     
                1.06859           90.2547     
                1.10092           90.662      
                1.13414           90.9695     
                1.16771           88.5613     
                1.20161           90.9447     
                1.23582           88.8629     
                1.27033           90.6877     
                1.30455           91.0615     
                1.33963           92.0922     
                1.37497           92.8871     
                1.41055           93.2331     
                1.44637           94.2865     
                1.48242           94.3411     
                1.51806           93.7392     
                1.5545            94.2783     
                1.59112           93.7019     
                1.6279            95.24       
                1.66483           95.5529     
                1.70151           95.9151     
                1.73866           97.1338     
                1.77584           97.6911     
                1.81327           98.1872     
                1.85018           99.6009     
                1.88786           99.8033     
                1.92542          100.067      
                1.96288          100.74       
                2.00036          100.652      
                2.03754          100.834      
                2.07516          102.339      
                2.11247          102.862      
                2.1499           103.339      
                2.18747          104.358      
                2.22458          105.735      
                2.26173          107.627      
                2.29878          108.225      
                2.33608          108.01       
                2.37255          111.502      
                2.40928          112.529      
                2.44592          115.045      
                2.4821           115.532      
                2.51821          116.86       
                2.55426          119.182      
                2.59009          121.582      
                2.62568          121.597      
                2.66074          121.294      
                2.69572          111.534      
                2.73029          121.613      
                2.76482          121.487      
                2.7988           120.213      
                2.83272          117.76       
                2.86606          121.442      
                2.89931          122.219      
                2.93196          121.73       
                2.96449          124.285      
                2.99656          128.46       
                3.02821          130.357      
                3.05945          122.71       
                3.09022          123.038      
                3.12077          122.597      
                3.15075          138.919      
                3.18017          144.003      
                3.20941          147.77       
                3.23799          150.8        
                3.26621          151.669      
                3.29387          163.115      
                3.321            162.009      
                3.34782          169.848      
                3.37395          173.2        
                3.39969          174.455      
                3.42476          182.36       
                3.44942          176.755      
                3.4736           184.298      
                3.49717          178.202      
                3.52018          169.         
                3.54263          175.817      
                3.56458          180.601      
                3.58602          187.761      
                3.60677          198.674      
                3.62707          189.509      
                3.64674          210.072      
                3.66582          218.069      
                3.68434          225.011      
                3.70238          234.797      
                3.71967          236.79       
                3.73646          244.868      
                3.75271          251.7        
                3.76838          261.166      
                3.7834           267.115      
                3.79794          266.163      
                3.81182          276.026      
                3.82518          286.419      
                3.838            284.099      
                3.85023          287.134      
                3.8619           300.362      
                3.87301          310.112      
                3.88356          316.643      
                3.89359          320.906      
                3.90307          326.944      
                3.91202          331.317      
                3.92045          339.082      
                3.9284           345.868      
                3.93582          350.663      
                3.94273          351.311      
                3.94918          354.725      
                3.95518          356.858      
                3.96069          363.297      
                3.96576          365.886      
                3.97041          369.527      
                3.97464          372.005      
                3.97847          376.173      
                3.98191          377.847      
                3.98498          379.823      
                3.98769          382.679      
                3.99006          385.271      
                3.99212          382.639      
                3.99388          384.3        
                3.99537          388.405      
                3.9966           392.995      
                3.99759          388.533      
                3.99837          389.605      
                3.99897          390.226      
                3.9994           391.391      
                3.99969          391.147      
                3.99987          391.433      
                3.99996          391.775      
                3.99999          392.617      
                4.               391.431      




