dual_column_web_5_0p5_4_DynaCompre_25
status: successful
density: 0.123163402973
strain_length: 5.0
stress_area: 25.0
Node RIGIDPLATE-2.226 Node RIGIDPLATE-2.226
                  X               _temp_3     

                0.                 0.         
                5.08233E-06        2.48801E-03
               39.547E-06         15.5615E-03 
              132.667E-06         49.7868E-03 
              312.323E-06        115.233E-03  
              602.652E-06        220.614E-03  
                1.03461E-03      377.064E-03  
                1.63165E-03      593.13E-03   
                2.41091E-03      875.068E-03  
                3.40901E-03        1.23613    
                4.64309E-03        1.68258    
                6.12161E-03        2.21762    
                7.8905E-03         2.85802    
                9.95885E-03        3.60729    
               12.325E-03          4.46505    
               15.0474E-03         5.4528     
               18.1256E-03         6.57078    
               21.5465E-03         7.81466    
               25.384E-03          9.21185    
               29.6266E-03        10.7588     
               34.2488E-03        12.4468     
               39.3424E-03        14.3103     
               44.8839E-03        16.3414     
               50.8341E-03        18.5269     
               57.3052E-03        20.9089     
               64.2604E-03        23.4752     
               71.6464E-03        26.2072     
               79.5973E-03        29.1559     
               88.0624E-03        32.3036     
               96.9734E-03        35.6245     
              106.488E-03         39.1734     
              116.541E-03         42.8955     
              127.049E-03         46.6532     
              138.194E-03         50.3782     
              149.896E-03         53.9338     
              162.055E-03         57.2332     
              174.88E-03          60.0811     
              188.275E-03         62.6179     
              202.125E-03         64.7521     
              216.664E-03         66.4299     
              231.78E-03          67.4048     
              247.343E-03         67.2905     
              263.613E-03         66.9652     
              280.465E-03         68.8105     
              297.749E-03         70.7868     
              315.755E-03         70.7156     
              334.34E-03          70.3311     
              353.34E-03          72.3274     
              373.072E-03         73.3382     
              393.376E-03         72.6674     
              414.073E-03         74.2187     
              435.507E-03         75.1577     
              457.503E-03         74.763      
              479.865E-03         76.2346     
              502.966E-03         76.5449     
              526.613E-03         76.8573     
              550.597E-03         78.0235     
              575.317E-03         77.9893     
              600.564E-03         78.9181     
              626.117E-03         79.4019     
              652.396E-03         79.9278     
              679.182E-03         80.767      
              706.467E-03         81.2227     
              734.008E-03         81.988      
              762.261E-03         82.6072     
              790.986E-03         83.2468     
              819.929E-03         84.0219     
              849.567E-03         84.7045     
              879.648E-03         85.4845     
              909.906E-03         86.2131     
              940.84E-03          86.8957     
              972.185E-03         87.7539     
                1.00366           88.4023     
                1.0358            89.207      
                1.0683            89.8225     
                1.1009            90.417      
                1.13413           89.0758     
                1.16769           89.1714     
                1.2013            88.6575     
                1.23551           89.4666     
                1.27002           90.7524     
                1.30453           91.3778     
                1.3396            91.5795     
                1.37494           92.4955     
                1.41023           93.2356     
                1.44604           93.674      
                1.48208           93.9012     
                1.51803           93.2945     
                1.55446           94.1693     
                1.59108           94.2777     
                1.62755           94.7523     
                1.66448           95.6126     
                1.70141           95.9969     
                1.73845           96.751      
                1.77567           97.8386     
                1.81286           98.2158     
                1.85037           98.721      
                1.88777           99.3632     
                1.92509           99.7488     
                1.96275          100.205      
                2.00011          100.437      
                2.0376           101.36       
                2.07515          101.603      
                2.11269          102.84       
                2.14989          103.484      
                2.18725          104.341      
                2.2246           105.92       
                2.26169          105.879      
                2.29873          108.395      
                2.33572          108.994      
                2.37258          110.604      
                2.40929          112.535      
                2.44584          113.743      
                2.48213          116.115      
                2.51825          117.734      
                2.55415          119.374      
                2.58984          120.875      
                2.6255           121.86       
                2.66066          120.996      
                2.69558          111.366      
                2.73028          118.835      
                2.76469          119.059      
                2.79879          121.537      
                2.83259          119.035      
                2.86605          120.702      
                2.89918          120.808      
                2.93195          122.823      
                2.96448          124.273      
                2.99652          127.457      
                3.02816          130.915      
                3.05941          121.552      
                3.09025          128.153      
                3.12067          130.484      
                3.15066          138.242      
                3.18023          141.118      
                3.20929          146.909      
                3.23791          151.431      
                3.26613          153.551      
                3.29382          160.377      
                3.32103          164.881      
                3.34774          165.759      
                3.37394          164.652      
                3.39964          172.669      
                3.42481          178.733      
                3.44946          185.833      
                3.47353          184.977      
                3.49717          190.608      
                3.52021          175.51       
                3.54267          163.64       
                3.56457          178.371      
                3.58597          175.24       
                3.60675          178.462      
                3.62702          195.283      
                3.64669          211.694      
                3.66579          221.951      
                3.68432          229.643      
                3.70229          233.29       
                3.71966          240.637      
                3.73646          246.793      
                3.75267          251.339      
                3.76833          259.21       
                3.78342          268.209      
                3.79793          276.435      
                3.81183          281.523      
                3.82519          292.141      
                3.83799          299.903      
                3.85019          294.104      
                3.86187          306.467      
                3.87299          315.796      
                3.88354          320.935      
                3.89357          325.539      
                3.90306          331.692      
                3.912            337.511      
                3.92045          341.167      
                3.92838          346.357      
                3.93579          351.873      
                3.94273          354.614      
                3.94919          363.126      
                3.95516          361.642      
                3.96069          366.112      
                3.96577          371.41       
                3.97041          374.08       
                3.97464          375.145      
                3.97847          377.286      
                3.9819           378.486      
                3.98497          380.297      
                3.98768          382.392      
                3.99006          382.093      
                3.99212          383.676      
                3.99388          386.704      
                3.99537          389.647      
                3.9966           391.363      
                3.99759          392.928      
                3.99838          392.495      
                3.99897          391.329      
                3.9994           392.156      
                3.99969          393.366      
                3.99987          394.196      
                3.99996          393.812      
                3.99999          393.968      
                4.               393.876      




