dual_column_web_5_0p5_4_DynaCompre_60_3x3x3
status: successful
density: 0.123760283
strain_length: 15.0
stress_area: 225.0
Node RIGIDPLATE-2.1226 Node RIGIDPLATE-2.1226
                  X               _temp_3     

                0.                 0.         
               14.9659E-06        53.0188E-03 
              118.826E-06        239.685E-03  
              397.98E-06         563.619E-03  
              931.637E-06          1.14261    
                1.80749E-03        2.10977    
                3.10149E-03        3.47461    
                4.88956E-03        5.33791    
                7.22769E-03        7.78995    
               10.2171E-03        10.8964     
               13.9128E-03        14.7182     
               18.3805E-03        19.3469     
               23.6463E-03        24.7936     
               29.8401E-03        31.192      
               36.9888E-03        38.5765     
               45.1486E-03        47.0133     
               54.3096E-03        56.488      
               64.6438E-03        67.1768     
               76.1437E-03        79.0896     
               88.8565E-03        92.2741     
              102.732E-03        106.676      
              117.994E-03        122.545      
              134.597E-03        139.84       
              152.579E-03        158.6        
              171.845E-03        178.738      
              192.683E-03        200.563      
              215.001E-03        223.992      
              238.832E-03        249.059      
              264.031E-03        275.619      
              290.956E-03        304.066      
              319.47E-03         334.235      
              349.597E-03        366.093      
              381.143E-03        398.85       
              414.541E-03        430.883      
              449.606E-03        458.835      
              486.353E-03        485.505      
              524.538E-03        508.706      
              564.675E-03        523.53       
              606.527E-03        530.148      
              650.102E-03        526.126      
              695.105E-03        498.871      
              742.131E-03        442.831      
              790.878E-03        366.649      
              841.117E-03        293.478      
              893.209E-03        257.565      
              947.161E-03        260.961      
                1.00272          271.18       
                1.06026          256.986      
                1.11929          214.098      
                1.1799           147.989      
                1.24232          170.264      
                1.3064           237.09       
                1.37216          270.91       
                1.43982          230.936      
                1.50894          171.493      
                1.57968          187.717      
                1.65204          256.992      
                1.726            256.695      
                1.80154          219.277      
                1.87853          202.888      
                1.95716          195.184      
                2.03715          200.678      
                2.11885          203.179      
                2.20213          185.978      
                2.28642          188.572      
                2.37244          198.937      
                2.45987          185.862      
                2.54833          186.264      
                2.63828          185.933      
                2.72954          192.702      
                2.8223           198.176      
                2.91592          202.053      
                3.01082          200.753      
                3.10691          197.453      
                3.2043           198.269      
                3.30259          215.369      
                3.40217          197.161      
                3.5024           195.579      
                3.60385          198.267      
                3.7063           198.07       
                3.80931          199.199      
                3.91354          194.307      
                4.01845          193.833      
                4.12417          198.351      
                4.23053          202.385      
                4.33777          197.193      
                4.44564          201.894      
                4.55405          203.678      
                4.66312          208.256      
                4.77269          208.663      
                4.88259          206.696      
                4.99301          215.06       
                5.10409          213.975      
                5.21517          211.147      
                5.32687          209.865      
                5.4386           212.326      
                5.55052          210.081      
                5.66295          209.179      
                5.77517          208.464      
                5.88776          206.418      
                6.00001          207.862      
                6.11252          207.533      
                6.22516          208.208      
                6.33752          201.911      
                6.44974          196.532      
                6.56167          203.186      
                6.67355          196.86       
                6.78514          187.058      
                6.89644          197.387      
                7.00719          197.438      
                7.11771          230.959      
                7.22758          257.807      
                7.33719          283.468      
                7.44622          317.322      
                7.55467          359.164      
                7.66239          396.166      
                7.7697           428.45       
                7.87615          455.349      
                7.98179          486.852      
                8.08671          509.13       
                8.19086          525.175      
                8.29398          535.551      
                8.3964           541.226      
                8.49778          539.812      
                8.59816          534.652      
                8.69766          528.145      
                8.79592          523.397      
                8.89315          535.595      
                8.98929          547.763      
                9.08433          561.782      
                9.17807          572.519      
                9.27054          579.82       
                9.36186          586.357      
                9.45184          590.083      
                9.54054          593.023      
                9.62791          600.309      
                9.71378          596.949      
                9.79824          597.076      
                9.88134          602.795      
                9.96296          614.95       
               10.0431           615.924      
               10.1217           620.748      
               10.1988           624.777      
               10.2744           632.1        
               10.3483           647.908      
               10.4206           671.315      
               10.4914           704.632      
               10.5605           722.191      
               10.628            753.613      
               10.6937           769.147      
               10.7578           791.12       
               10.8203           820.279      
               10.8811           846.319      
               10.9401           875.137      
               10.9974           886.211      
               11.053            923.078      
               11.1069           952.287      
               11.159            958.148      
               11.2094           990.602      
               11.258              1.02976E+03
               11.305              1.04997E+03
               11.3502             1.08301E+03
               11.3937             1.11395E+03
               11.4355             1.14102E+03
               11.4756             1.16641E+03
               11.5139             1.1879E+03 
               11.5506             1.2009E+03 
               11.5856             1.22465E+03
               11.6189             1.24831E+03
               11.6506             1.27781E+03
               11.6807             1.30185E+03
               11.7092             1.3266E+03 
               11.736              1.34544E+03
               11.7613             1.35805E+03
               11.7851             1.37891E+03
               11.8074             1.40184E+03
               11.8282             1.41811E+03
               11.8476             1.43469E+03
               11.8655             1.44247E+03
               11.8821             1.4639E+03 
               11.8973             1.4742E+03 
               11.9112             1.48954E+03
               11.9239             1.48944E+03
               11.9354             1.50465E+03
               11.9457             1.51567E+03
               11.9549             1.52637E+03
               11.9631             1.5285E+03 
               11.9702             1.53398E+03
               11.9764             1.5454E+03 
               11.9817             1.55357E+03
               11.9861             1.5534E+03 
               11.9898             1.55365E+03
               11.9928             1.55575E+03
               11.9951             1.56058E+03
               11.9969             1.56219E+03
               11.9982             1.55401E+03
               11.9991             1.55657E+03
               11.9996             1.55646E+03
               11.9999             1.55918E+03
               12.                 1.5564E+03 
               12.                 1.55612E+03




