dual_column_web_5_0p5_4_DynaCompre_60_1x3x1
status: successful
density: 0.12363238219
strain_length: 15.0
stress_area: 25.0
Node RIGIDPLATE-2.226 Node RIGIDPLATE-2.226
                  X               _temp_3     

                0.                 0.         
               15.1437E-06         6.21518E-03
              118.474E-06         27.6644E-03 
              397.403E-06         64.9152E-03 
              935.397E-06        128.907E-03  
                1.80642E-03      235.37E-03   
                3.10027E-03      388.563E-03  
                4.88832E-03      594.293E-03  
                7.244E-03        866.459E-03  
               10.216E-03          1.20987    
               13.9122E-03         1.63335    
               18.3808E-03         2.14309    
               23.647E-03          2.74683    
               29.8422E-03         3.45521    
               36.9927E-03         4.27039    
               45.1548E-03         5.20268    
               54.3172E-03         6.25134    
               64.6544E-03         7.43156    
               76.1578E-03         8.74661    
               88.7857E-03        10.1943     
              102.752E-03         11.794      
              118.02E-03          13.5442     
              134.628E-03         15.4538     
              152.492E-03         17.5084     
              171.887E-03         19.7401     
              192.732E-03         22.145      
              214.905E-03         24.7058     
              238.733E-03         27.4574     
              264.102E-03         30.3899     
              291.037E-03         33.4993     
              319.367E-03         36.7418     
              349.494E-03         40.0557     
              381.253E-03         42.7908     
              414.664E-03         43.2474     
              449.503E-03         44.4417     
              486.253E-03         48.0308     
              524.698E-03         50.4387     
              564.576E-03         49.8436     
              606.432E-03         48.6198     
              650.012E-03         40.536      
              695.322E-03         29.2313     
              742.047E-03         21.9107     
              790.817E-03         20.485      
              841.325E-03         26.8479     
              893.217E-03         30.435      
              947.188E-03         28.8543     
                1.00289           24.4986     
                1.06032           17.8336     
                1.11907           10.069      
                1.17993           11.1312     
                1.24249           17.9264     
                1.30651           27.3938     
                1.37229           21.709      
                1.43976           17.9366     
                1.50887           19.7214     
                1.57961           14.4444     
                1.65197           16.6658     
                1.72593           21.4161     
                1.80146           23.8696     
                1.87855           19.9516     
                1.95718           20.8188     
                2.03731           18.5361     
                2.11888           17.309      
                2.20191           18.4204     
                2.28634           17.6764     
                2.37233           14.7154     
                2.45959           15.6556     
                2.54838           17.9021     
                2.63842           18.1005     
                2.7297            16.9113     
                2.82211           17.2986     
                2.91582           18.003      
                3.01097           17.0728     
                3.107             17.8689     
                3.20418           18.6718     
                3.30269           16.6905     
                3.40217           17.6017     
                3.50233           17.0513     
                3.60397           17.4315     
                3.70634           17.7149     
                3.80942           16.7689     
                3.91365           15.6773     
                4.01858           14.9247     
                4.12406           16.5166     
                4.23085           15.5619     
                4.33797           15.3729     
                4.44557           16.1826     
                4.5539            15.3096     
                4.66324           14.9536     
                4.77276           15.8105     
                4.88282           14.9135     
                4.99333           14.6503     
                5.10422           15.6063     
                5.21517           15.4775     
                5.32663           15.04       
                5.43863           15.3344     
                5.5505            15.5346     
                5.66283           15.3118     
                5.77511           14.7553     
                5.88774           14.9478     
                6.00009           14.7303     
                6.11287           14.7634     
                6.22518           14.4678     
                6.33747           14.0837     
                6.44978           13.7729     
                6.56167           12.7928     
                6.67364           13.683      
                6.78496           13.8594     
                6.89624           13.8945     
                7.00726           14.7912     
                7.11765           15.084      
                7.2277            14.4247     
                7.33714           16.4795     
                7.44625           17.2433     
                7.55464           16.9557     
                7.6624            17.41       
                7.76968           17.0851     
                7.8761            20.8807     
                7.98173           24.5466     
                8.08662           25.7866     
                8.19085           26.7639     
                8.29404           28.4638     
                8.3965            29.387      
                8.49774           30.0713     
                8.59823           30.7419     
                8.69754           31.2613     
                8.79589           32.7919     
                8.89328           32.3075     
                8.98927           32.0579     
                9.08424           32.3442     
                9.17797           32.3812     
                9.27073           32.983      
                9.36192           32.7535     
                9.45181           33.7404     
                9.54068           34.2438     
                9.62777           35.09       
                9.71388           35.4668     
                9.79838           35.7358     
                9.88149           35.496      
                9.96305           36.0317     
               10.0431            33.7856     
               10.1217            30.2107     
               10.1988            25.4559     
               10.2743            22.5419     
               10.3484            22.3791     
               10.4208            24.5612     
               10.4914            21.9142     
               10.5606            23.9017     
               10.6281            26.0295     
               10.6939            26.7455     
               10.7579            26.7778     
               10.8203            28.4433     
               10.881             27.1249     
               10.9401            29.08       
               10.9974            30.6884     
               11.0529            37.9407     
               11.1069            40.5281     
               11.159             44.3915     
               11.2094            48.0162     
               11.258             51.1312     
               11.305             53.9642     
               11.3502            57.3707     
               11.3937            60.2083     
               11.4355            64.1789     
               11.4755            64.3657     
               11.5139            65.2692     
               11.5506            67.5139     
               11.5856            70.7873     
               11.6189            74.109      
               11.6506            75.3464     
               11.6807            77.9338     
               11.7092            79.2176     
               11.736             82.5048     
               11.7613            82.513      
               11.7851            82.6039     
               11.8074            84.1893     
               11.8282            87.1602     
               11.8475            87.6245     
               11.8655            89.5911     
               11.8821            91.0154     
               11.8973            90.8646     
               11.9112            91.8315     
               11.9239            92.8289     
               11.9354            94.4447     
               11.9457            94.4586     
               11.9549            95.5989     
               11.963             92.913      
               11.9702            93.0148     
               11.9764            93.1228     
               11.9817            94.3134     
               11.9861            94.0373     
               11.9898            94.4418     
               11.9928            95.3565     
               11.9951            94.9274     
               11.9969            94.9249     
               11.9982            94.4938     
               11.9991            94.8417     
               11.9996            95.0235     
               11.9999            94.3154     
               12.                94.0777     
               12.                93.8168     




