dual_column_web_5_0p5_4_DynaCompre_30_1x3x1
status: successful
density: 0.12363238219
strain_length: 15.0
stress_area: 25.0
Node RIGIDPLATE-2.226 Node RIGIDPLATE-2.226
                  X               _temp_3     

                0.                 0.         
               14.9214E-06         3.49129E-03
              118.711E-06         16.41E-03   
              396.481E-06         49.7897E-03 
              933.618E-06        111.828E-03  
                1.80711E-03      212.324E-03  
                3.09603E-03      359.66E-03   
                4.88245E-03      563.222E-03  
                7.22733E-03      830.41E-03   
               10.2171E-03         1.17021    
               13.8996E-03         1.58904    
               18.3653E-03         2.0968     
               23.6475E-03         2.69711    
               29.8423E-03         3.40182    
               36.9667E-03         4.21239    
               45.1245E-03         5.14104    
               54.315E-03          6.18831    
               64.651E-03          7.36671    
               76.1128E-03         8.67532    
               88.824E-03         10.1277     
              102.744E-03         11.7204     
              117.957E-03         13.4632     
              134.559E-03         15.3674     
              152.478E-03         17.426      
              171.87E-03          19.6561     
              192.64E-03          22.0473     
              214.958E-03         24.6136     
              238.706E-03         27.3015     
              264.072E-03         29.7504     
              290.91E-03          30.4719     
              319.426E-03         33.9294     
              349.45E-03          38.3396     
              381.205E-03         40.2922     
              414.496E-03         42.302      
              449.563E-03         45.2509     
              486.188E-03         42.1555     
              524.496E-03         32.0004     
              564.635E-03         21.2339     
              606.348E-03         22.1258     
              649.911E-03         24.1565     
              695.07E-03          20.1183     
              742.019E-03         21.1813     
              790.695E-03         20.2991     
              841.104E-03         23.1454     
              893.273E-03         24.2314     
              947.156E-03         25.9968     
                1.00267           23.6017     
                1.06007           17.2273     
                1.1191            15.9398     
                1.17984           19.5551     
                1.24219           21.5857     
                1.30645           20.4086     
                1.37216           19.0815     
                1.43961           21.2209     
                1.50872           20.0701     
                1.57943           18.726      
                1.65188           18.6633     
                1.72584           18.0363     
                1.80131           18.9857     
                1.87844           19.2248     
                1.95701           18.6418     
                2.0371            18.0706     
                2.11886           18.0583     
                2.20191           17.0248     
                2.28639           18.4671     
                2.37225           17.8195     
                2.45962           17.9698     
                2.54832           18.0493     
                2.63824           18.2735     
                2.72955           17.3428     
                2.82207           18.3035     
                2.91585           17.162      
                3.01081           17.2722     
                3.10691           17.7101     
                3.20418           17.1714     
                3.30254           17.2157     
                3.40195           16.7522     
                3.50235           16.8209     
                3.60376           16.6021     
                3.70614           16.6016     
                3.80928           16.3819     
                3.91347           16.0478     
                4.01836           16.1155     
                4.12419           15.2543     
                4.23058           15.8995     
                4.33774           14.4719     
                4.44549           15.7111     
                4.55402           14.6871     
                4.66292           14.8686     
                4.7725            14.7919     
                4.88256           14.7161     
                4.9931            14.7369     
                5.10393           14.6537     
                5.21515           14.7767     
                5.32669           14.6122     
                5.43849           14.8854     
                5.55055           14.602      
                5.66281           14.7179     
                5.77506           14.4749     
                5.88762           14.7565     
                6.00009           15.1985     
                6.1125            16.1557     
                6.22499           16.9618     
                6.33732           17.4732     
                6.4496            17.8631     
                6.5616            18.2428     
                6.67346           18.6413     
                6.78507           18.5242     
                6.89622           18.7061     
                7.00717           19.0834     
                7.11763           18.1101     
                7.22769           17.8802     
                7.33726           17.0032     
                7.44611           17.6019     
                7.55462           16.5114     
                7.66238           18.211      
                7.76957           17.6569     
                7.87613           18.9122     
                7.98173           18.3787     
                8.08675           19.3501     
                8.19079           18.7063     
                8.29412           19.8837     
                8.39639           19.3109     
                8.49777           18.8257     
                8.59813           19.2155     
                8.69752           19.2038     
                8.79592           18.3872     
                8.89325           17.7368     
                8.98924           18.631      
                9.08432           17.4098     
                9.17808           17.7756     
                9.27054           18.8529     
                9.36181           20.0061     
                9.45183           19.4161     
                9.54047           19.8385     
                9.62779           19.5344     
                9.71369           20.6546     
                9.79829           22.2898     
                9.88135           23.1845     
                9.963             24.7104     
               10.0431            24.8137     
               10.1217            25.6255     
               10.1989            26.4084     
               10.2743            26.4414     
               10.3483            28.3361     
               10.4207            29.1745     
               10.4914            31.738      
               10.5604            32.0625     
               10.6279            33.6159     
               10.6937            34.0797     
               10.7578            33.5157     
               10.8203            34.6696     
               10.881             35.1179     
               10.94              37.6311     
               10.9973            39.9051     
               11.053             45.0538     
               11.1068            46.8741     
               11.1589            49.2392     
               11.2094            53.3934     
               11.258             54.5416     
               11.305             57.7442     
               11.3502            58.8016     
               11.3937            62.9295     
               11.4355            64.2511     
               11.4755            66.717      
               11.5139            69.155      
               11.5506            72.2461     
               11.5856            74.9884     
               11.6189            77.4103     
               11.6506            78.7176     
               11.6807            83.34       
               11.7091            86.3867     
               11.736             84.8134     
               11.7613            88.0076     
               11.7851            89.7305     
               11.8074            93.5089     
               11.8282            95.3932     
               11.8475            96.5471     
               11.8655            99.256      
               11.8821           100.286      
               11.8973           101.974      
               11.9112           103.502      
               11.9239           104.584      
               11.9354           104.613      
               11.9457           105.559      
               11.9549           106.931      
               11.963            107.761      
               11.9702           108.423      
               11.9764           108.604      
               11.9816           109.175      
               11.9861           109.505      
               11.9898           108.689      
               11.9928           109.748      
               11.9951           110.017      
               11.9969           110.342      
               11.9982           110.589      
               11.9991           110.4        
               11.9996           110.585      
               11.9999           110.538      
               12.               110.558      
               12.               110.603      




