Auxetic_5_0p5_8_StaCompre_2x2x2
status: successful
density: 0.21241804993
strain_length: 10.0
stress_area: 100.0
Node RIGIDPLATE-2.626 Node RIGIDPLATE-2.626
                  X               _temp_3     

                0.                 0.         
                7.45451E-06        9.58845E-03
               59.1358E-06        68.7794E-03 
              198.02E-06         225.874E-03  
              465.763E-06        527.588E-03  
              902.708E-06          1.01934    
                1.54949E-03        1.74674    
                2.44126E-03        2.7494     
                3.61563E-03        4.06959    
                5.10783E-03        5.74716    
                6.95187E-03        7.82045    
                9.18052E-03       10.3267     
               11.8253E-03        13.3019     
               14.9167E-03        16.7806     
               18.4837E-03        20.7964     
               22.5545E-03        25.3816     
               27.1557E-03        30.5675     
               32.3132E-03        36.3842     
               38.0515E-03        42.8609     
               44.3939E-03        50.0254     
               51.3629E-03        57.9051     
               58.9797E-03        66.5258     
               67.2644E-03        75.9129     
               76.2361E-03        86.0903     
               85.9337E-03        97.1052     
               96.3341E-03       108.934      
              107.472E-03        121.621      
              119.364E-03        135.187      
              132.022E-03        149.65       
              145.461E-03        165.03       
              159.691E-03        181.344      
              174.724E-03        198.588      
              190.571E-03        216.742      
              207.239E-03        235.745      
              224.739E-03        255.535      
              243.076E-03        275.98       
              262.257E-03        296.832      
              282.288E-03        317.73       
              303.174E-03        338.084      
              324.919E-03        357.083      
              347.525E-03        374.69       
              370.995E-03        391.055      
              395.381E-03        406.373      
              420.583E-03        420.625      
              446.651E-03        433.024      
              473.584E-03        435.445      
              501.379E-03        409.581      
              530.035E-03        383.091      
              559.549E-03        409.018      
              589.915E-03        396.053      
              621.13E-03         368.036      
              653.189E-03        396.144      
              686.086E-03        359.277      
              719.813E-03        377.945      
              754.364E-03        356.997      
              789.73E-03         362.788      
              825.904E-03        349.363      
              862.876E-03        352.282      
              900.637E-03        339.094      
              939.175E-03        343.325      
              978.481E-03        328.412      
                1.01863          334.08       
                1.05943          319.53       
                1.10097          323.754      
                1.14323          313.709      
                1.18619          311.883      
                1.22984          309.278      
                1.27417          301.389      
                1.31917          302.632      
                1.3648           295.833      
                1.41106          293.13       
                1.45796          292.34       
                1.5054           286.467      
                1.55347          285.394      
                1.60213          283.404      
                1.65128          278.984      
                1.701            277.863      
                1.7512           275.51       
                1.80189          271.407      
                1.85303          270.252      
                1.90469          268.988      
                1.95671          266.173      
                2.00917          264.2        
                2.06204          262.8        
                2.11529          260.243      
                2.16885          258.353      
                2.22277          257.09       
                2.27698          256.143      
                2.33147          254.179      
                2.38626          252.666      
                2.44126          251.716      
                2.49648          249.844      
                2.55195          248.694      
                2.60755          247.419      
                2.66331          246.182      
                2.71925          245.248      
                2.77525          244.488      
                2.83139          243.947      
                2.88755          243.125      
                2.94379          242.701      
                3.               242.35       
                3.05628          241.88       
                3.1125           241.925      
                3.16867          242.038      
                3.22477          241.268      
                3.28078          241.82       
                3.33672          243.034      
                3.39249          243.78       
                3.4481           244.457      
                3.50353          246.014      
                3.5588           248.364      
                3.6138           250.735      
                3.66857          254.19       
                3.72306          258.098      
                3.77727          261.398      
                3.83121          266.28       
                3.88479          270.888      
                3.93799          275.814      
                3.99085          280.009      
                4.04331          284.725      
                4.09539          288.539      
                4.14699          292.3        
                4.19816          296.352      
                4.24885          299.905      
                4.29906          302.026      
                4.34876          305.651      
                4.39795          307.568      
                4.44657          310.964      
                4.49464          312.496      
                4.54211          314.559      
                4.58899          317.228      
                4.63526          320.889      
                4.6809           324.549      
                4.7259           328.69       
                4.77023          332.808      
                4.81389          336.077      
                4.85685          340.53       
                4.89911          344.702      
                4.94065          348.659      
                4.98147          354.429      
                5.02152          360.346      
                5.06084          366.038      
                5.09938          371.893      
                5.13714          378.559      
                5.17412          386.864      
                5.21031          396.339      
                5.24567          404.611      
                5.28022          411.372      
                5.31395          416.145      
                5.34686          425.346      
                5.37891          432.432      
                5.41013          438.982      
                5.4405           446.585      
                5.47001          452.561      
                5.49867          460.801      
                5.52647          467.616      
                5.5534           469.192      
                5.57947          477.045      
                5.60467          488.417      
                5.62901          494.149      
                5.65248          502.709      
                5.67509          509.093      
                5.69684          516.386      
                5.71773          522.447      
                5.73776          527.59       
                5.75694          533.342      
                5.77528          539.299      
                5.79278          543.424      
                5.80945          549.891      
                5.8253           554.568      
                5.84033          559.112      
                5.85456          562.589      
                5.868            567.256      
                5.88066          569.329      
                5.89255          573.956      
                5.90369          577.184      
                5.91409          580.478      
                5.92377          582.502      
                5.93274          585.684      
                5.94102          587.743      
                5.94864          589.547      
                5.95561          591.908      
                5.96195          593.207      
                5.96769          594.174      
                5.97285          597.129      
                5.97745          597.245      
                5.98152          599.972      
                5.98509          600.086      
                5.98818          601.02       
                5.99082          602.365      
                5.99305          602.936      
                5.99489          604.108      
                5.99639          603.988      
                5.99756          603.891      
                5.99845          604.134      
                5.9991           604.958      
                5.99953          605.138      
                5.9998           605.496      
                5.99994          605.5        
                5.99999          603.817      
                6.               604.237      




