Auxetic_5_0p5_8_StaCompre_2x2x2
status: successful
density: 0.21241804993
strain_length: 10.0
stress_area: 100.0
Node RIGIDPLATE-2.626 Node RIGIDPLATE-2.626
                  X               _temp_3     

                0.                 0.         
                7.4545E-06        10.0977E-03 
               59.1356E-06        69.8077E-03 
              198.017E-06        227.464E-03  
              465.752E-06        529.595E-03  
              903.794E-06          1.0231     
                1.54944E-03        1.74972    
                2.44118E-03        2.75281    
                3.61549E-03        4.07335    
                5.10764E-03        5.75133    
                6.9516E-03         7.825      
                9.18016E-03       10.3316     
               11.8249E-03        13.307      
               14.9161E-03        16.7861     
               18.483E-03         20.8021     
               22.5535E-03        25.3875     
               27.1546E-03        30.5736     
               32.3119E-03        36.3904     
               38.0499E-03        42.8672     
               44.3921E-03        50.0318     
               51.3759E-03        57.9286     
               58.9937E-03        66.5509     
               67.2795E-03        75.9395     
               76.2523E-03        86.1184     
               85.9301E-03        97.1114     
               96.33E-03         108.94       
              107.468E-03        121.627      
              119.359E-03        135.192      
              132.017E-03        149.655      
              145.455E-03        165.035      
              159.684E-03        181.349      
              174.717E-03        198.592      
              190.563E-03        216.746      
              207.231E-03        235.749      
              224.729E-03        255.54       
              243.105E-03        276.024      
              262.287E-03        296.882      
              282.319E-03        317.77       
              303.206E-03        338.126      
              324.952E-03        357.128      
              347.559E-03        374.728      
              371.03E-03         391.098      
              395.365E-03        406.383      
              420.514E-03        420.671      
              446.582E-03        433.798      
              473.457E-03        442.691      
              501.252E-03        433.846      
              529.848E-03        393.419      
              559.36E-03         375.977      
              589.663E-03        410.866      
              620.879E-03        397.702      
              652.871E-03        356.22       
              685.767E-03        390.351      
              719.424E-03        372.35       
              753.975E-03        350.394      
              789.269E-03        376.778      
              825.443E-03        339.894      
              862.339E-03        359.351      
              900.1E-03          340.582      
              938.559E-03        340.644      
              977.866E-03        337.584      
                1.01784          326.996      
                1.05865          330.4        
                1.1001           316.816      
                1.14236          321.87       
                1.18523          308.99       
                1.22888          313.03       
                1.27312          302.055      
                1.31811          304.663      
                1.36375          295.843      
                1.41006          297.137      
                1.45692          290.545      
                1.50442          290.126      
                1.55247          286.257      
                1.60099          283.626      
                1.65024          282.319      
                1.69992          277.786      
                1.75019          277.597      
                1.80096          273.204      
                1.85211          272.827      
                1.90373          269.343      
                1.95573          267.835      
                2.00819          266.56       
                2.06101          263.507      
                2.11417          263.165      
                2.16768          260.279      
                2.22156          257.546      
                2.27571          256.543      
                2.33014          255.374      
                2.38484          253.946      
                2.43966          252.652      
                2.49476          250.932      
                2.55016          250.166      
                2.60564          248.298      
                2.66135          247.29       
                2.71719          246.469      
                2.77308          245.438      
                2.82909          244.905      
                2.88523          244.631      
                2.94136          244.285      
                2.99743          243.367      
                3.05361          243.173      
                3.11006          243.454      
                3.16646          243.015      
                3.22275          243.307      
                3.27901          243.208      
                3.3351           244.271      
                3.3911           245.228      
                3.44695          246.495      
                3.50257          247.799      
                3.55796          250.014      
                3.61315          252.477      
                3.6681           256.194      
                3.72282          260.389      
                3.77721          264.204      
                3.83134          268.685      
                3.88508          272.865      
                3.93835          278.326      
                3.9912           282.014      
                4.04367          286.501      
                4.09568          291.172      
                4.14709          294.936      
                4.19821          297.538      
                4.24892          301.078      
                4.29909          303.536      
                4.34884          304.154      
                4.39809          306.874      
                4.44655          305.79       
                4.49448          310.143      
                4.54203          312.925      
                4.58912          316.763      
                4.63541          321.266      
                4.68095          325.922      
                4.72584          328.345      
                4.77011          332.123      
                4.81369          331.046      
                4.85671          337.084      
                4.89906          342.573      
                4.94046          347.952      
                4.9816           353.158      
                5.02225          360.197      
                5.06168          367.666      
                5.10103          376.014      
                5.13875          383.685      
                5.17646          391.698      
                5.21275          401.127      
                5.24876          405.982      
                5.28348          415.5        
                5.31776          423.739      
                5.35097          430.297      
                5.38355          437.672      
                5.41518          445.158      
                5.44603          453.146      
                5.47596          459.725      
                5.5051           467.84       
                5.53331          472.708      
                5.56074          481.969      
                5.58718          488.017      
                5.6129           497.194      
                5.63766          504.698      
                5.66166          511.         
                5.68469          517.945      
                5.70698          524.467      
                5.72827          531.653      
                5.74884          538.298      
                5.76846          544.511      
                5.78732          548.263      
                5.80527          554.746      
                5.82241          559.557      
                5.83875          563.325      
                5.85417          568.666      
                5.86894          572.164      
                5.88265          575.832      
                5.89597          580.282      
                5.90797          583.916      
                5.91997          587.154      
                5.93028          590.494      
                5.94056          592.602      
                5.94968          596.078      
                5.95825          598.652      
                5.96645          599.569      
                5.97331          601.652      
                5.98017          604.169      
                5.98608          605.181      
                5.99122          606.706      
                5.99636          609.195      
                6.00051          609.722      
                6.00394          609.707      
                6.00737          612.593      
                6.01066          609.816      
                6.01238          611.497      
                6.01409          612.286      
                6.0158           612.449      
                6.01752          613.189      
                6.01883          614.431      
                6.01883          613.95       
                6.01883          614.292      
                6.01883          613.963      
                6.01883          613.936      
                6.01883          613.769      
                6.01883          613.605      




