BCC_5_0p5_8_StaCompre_2x2x2
status: successful
density: 0.178463942338
strain_length: 10.0
stress_area: 100.0
Node RIGIDPLATE-2.626 Node RIGIDPLATE-2.626
                  X               _temp_3     

                0.                 0.         
                7.47556E-06        2.71448E-03
               59.2867E-06        13.4398E-03 
              198.074E-06         39.8354E-03 
              466.123E-06         89.451E-03  
              903.674E-06        169.617E-03  
                1.54819E-03      287.116E-03  
                2.44029E-03      449.218E-03  
                3.61538E-03      662.196E-03  
                5.10512E-03      931.796E-03  
                6.95009E-03        1.26527    
                9.18021E-03        1.66781    
               11.8271E-03         2.14492    
               14.9139E-03         2.70066    
               18.4833E-03         3.3425     
               22.5571E-03         4.07398    
               27.1622E-03         4.89951    
               32.3124E-03         5.82122    
               38.0547E-03         6.84707    
               44.4021E-03         7.97867    
               51.3607E-03         9.21648    
               58.9825E-03        10.5691     
               67.273E-03         12.0366     
               76.2512E-03        13.6213     
               85.9352E-03        15.3253     
               96.3182E-03        17.1465     
              107.462E-03         19.0943     
              119.359E-03         21.166      
              132.024E-03         23.3625     
              145.47E-03          25.6844     
              159.675E-03         28.1266     
              174.714E-03         30.6997     
              190.566E-03         33.3981     
              207.241E-03         36.2213     
              224.747E-03         39.1684     
              243.09E-03          42.2382     
              262.277E-03         45.4287     
              282.314E-03         48.7325     
              303.205E-03         52.1434     
              324.953E-03         55.6559     
              347.563E-03         59.2597     
              371.035E-03         62.9466     
              395.371E-03         66.7058     
              420.572E-03         70.5172     
              446.637E-03         74.3655     
              473.566E-03         78.2323     
              501.355E-03         82.1025     
              530.003E-03         85.9515     
              559.572E-03         89.7707     
              589.928E-03         93.5203     
              621.131E-03         97.1933     
              653.175E-03        100.778      
              686.127E-03        104.262      
              719.837E-03        107.62       
              754.367E-03        110.855      
              789.709E-03        113.954      
              825.937E-03        116.92       
              862.881E-03        119.74       
              900.695E-03        122.424      
              939.205E-03        124.949      
              978.481E-03        127.331      
                1.0186           129.575      
                1.05937          131.672      
                1.10097          133.639      
                1.1432           135.478      
                1.18622          137.173      
                1.22984          138.747      
                1.27413          140.187      
                1.31918          141.508      
                1.36478          142.712      
                1.41112          143.806      
                1.45796          144.782      
                1.5054           145.649      
                1.55353          146.407      
                1.60211          147.069      
                1.65135          147.639      
                1.70101          148.107      
                1.75117          148.493      
                1.80189          148.657      
                1.85304          148.771      
                1.90465          148.656      
                1.95681          148.506      
                2.00926          148.072      
                2.0621           147.7        
                2.11532          147.157      
                2.16888          146.48       
                2.22278          145.901      
                2.27698          145.174      
                2.33151          144.472      
                2.38628          143.831      
                2.44129          143.551      
                2.49652          143.358      
                2.55194          144.02       
                2.60755          144.241      
                2.66331          144.466      
                2.71923          145.013      
                2.77525          145.517      
                2.83136          146.303      
                2.88755          149.683      
                2.9438           155.438      
                3.00004          161.041      
                3.05629          166.321      
                3.11247          172.584      
                3.16869          178.868      
                3.22481          185.139      
                3.28082          191.197      
                3.33671          198.488      
                3.39249          205.916      
                3.44811          212.374      
                3.50355          220.49       
                3.55879          227.285      
                3.61381          233.532      
                3.66859          238.911      
                3.7231           244.066      
                3.77731          248.868      
                3.83121          252.837      
                3.88478          256.369      
                3.93803          259.615      
                3.99086          262.279      
                4.04333          264.432      
                4.09539          266.294      
                4.147            267.617      
                4.19815          268.397      
                4.24886          268.597      
                4.29909          268.078      
                4.34879          266.775      
                4.39793          264.998      
                4.44656          262.745      
                4.49463          259.999      
                4.54214          257.365      
                4.58902          254.603      
                4.63526          251.755      
                4.68092          248.705      
                4.72592          245.89       
                4.77023          242.886      
                4.81392          240.814      
                4.85687          242.079      
                4.89911          246.811      
                4.94065          252.939      
                4.98146          259.065      
                5.02155          264.66       
                5.06087          269.302      
                5.09939          273.249      
                5.13715          276.597      
                5.17413          278.295      
                5.21029          278.895      
                5.24567          278.714      
                5.28023          278.419      
                5.31396          277.619      
                5.34685          276.661      
                5.37892          275.495      
                5.41013          274.011      
                5.44051          273.634      
                5.47001          274.193      
                5.49867          274.645      
                5.52647          275.091      
                5.5534           276.962      
                5.57948          280.111      
                5.60467          284.567      
                5.62902          289.155      
                5.65249          294.026      
                5.6751           299.257      
                5.69684          304.002      
                5.71773          308.543      
                5.73776          313.08       
                5.75694          317.872      
                5.77528          323.205      
                5.79278          330.123      
                5.80945          337.025      
                5.8253           343.94       
                5.84033          351.102      
                5.85457          358.213      
                5.868            365.596      
                5.88066          372.621      
                5.89255          379.29       
                5.90369          385.677      
                5.91409          391.395      
                5.92377          396.993      
                5.93274          401.871      
                5.94102          406.544      
                5.94864          411.346      
                5.95561          416.154      
                5.96195          420.464      
                5.96769          424.764      
                5.97285          428.248      
                5.97745          431.54       
                5.98152          434.628      
                5.98509          437.267      
                5.98818          439.898      
                5.99082          442.028      
                5.99305          444.198      
                5.9949           445.438      
                5.99639          446.572      
                5.99756          447.213      
                5.99845          448.161      
                5.9991           449.151      
                5.99953          449.369      
                5.9998           449.794      
                5.99994          449.758      
                5.99999          449.829      
                6.               449.883      




