BCC_5_0p5_8_StaCompre_2x2x2
status: successful
density: 0.178463942338
strain_length: 10.0
stress_area: 100.0
Node RIGIDPLATE-2.626 Node RIGIDPLATE-2.626
                  X               _temp_3     

                0.                 0.         
                7.47559E-06        3.50515E-03
               59.2862E-06        14.8317E-03 
              198.07E-06          41.6566E-03 
              466.107E-06         91.7051E-03 
              903.639E-06        172.433E-03  
                1.54812E-03      290.539E-03  
                2.44018E-03      453.305E-03  
                3.61521E-03      666.867E-03  
                5.10853E-03      937.572E-03  
                6.94975E-03        1.27063    
                9.17976E-03        1.6735     
               11.8265E-03         2.15114    
               14.9131E-03         2.70744    
               18.4824E-03         3.34976    
               22.556E-03          4.08154    
               27.1609E-03         4.90732    
               32.3108E-03         5.8292     
               38.053E-03          6.85533    
               44.4001E-03         7.98734    
               51.3584E-03         9.22562    
               58.98E-03          10.5784     
               67.2699E-03        12.0459     
               76.2473E-03        13.6306     
               85.93E-03          15.3347     
               96.3351E-03        17.16       
              107.479E-03         19.108      
              119.375E-03         21.1799     
              132.039E-03         23.3763     
              145.483E-03         25.698      
              159.718E-03         28.1454     
              174.757E-03         30.7186     
              190.609E-03         33.4172     
              207.282E-03         36.2404     
              224.786E-03         39.1873     
              243.128E-03         42.2567     
              262.313E-03         45.4469     
              282.348E-03         48.7504     
              303.237E-03         52.1616     
              324.983E-03         55.6741     
              347.59E-03          59.278      
              371.06E-03          62.9639     
              395.394E-03         66.721      
              420.592E-03         70.5314     
              446.711E-03         74.3872     
              473.636E-03         78.2585     
              501.483E-03         82.1371     
              530.128E-03         85.9811     
              559.693E-03         89.7936     
              590.045E-03         93.5484     
              621.313E-03         97.23       
              653.353E-03        100.806      
              686.301E-03        104.289      
              720.006E-03        107.651      
              754.607E-03        110.888      
              789.946E-03        113.986      
              826.169E-03        116.956      
              863.109E-03        119.769      
              900.919E-03        122.447      
              939.423E-03        124.975      
              978.781E-03        127.362      
                1.01881          129.603      
                1.05967          131.697      
                1.10117          133.662      
                1.14348          135.496      
                1.1864           137.195      
                1.23011          138.765      
                1.2744           140.209      
                1.31945          141.528      
                1.36504          142.735      
                1.41137          143.822      
                1.45821          144.793      
                1.50575          145.662      
                1.55376          146.419      
                1.60245          147.084      
                1.65157          147.648      
                1.70133          148.125      
                1.75149          148.51       
                1.80221          148.724      
                1.85347          148.728      
                1.90507          148.771      
                1.95722          148.438      
                2.00966          148.218      
                2.06261          147.647      
                2.1157           147.242      
                2.16926          146.516      
                2.22302          145.949      
                2.27722          145.186      
                2.33173          144.575      
                2.38649          144.073      
                2.4414           143.728      
                2.49654          143.762      
                2.55185          143.966      
                2.60751          144.366      
                2.66322          144.686      
                2.71916          145.348      
                2.77516          145.723      
                2.8313           146.559      
                2.88752          149.737      
                2.94373          155.941      
                2.99994          161.708      
                3.05629          166.805      
                3.1124           172.796      
                3.16841          179.289      
                3.22434          185.439      
                3.28024          191.79       
                3.33598          198.514      
                3.39158          205.913      
                3.44708          213.439      
                3.50234          220.741      
                3.55741          226.91       
                3.61231          233.263      
                3.66691          238.918      
                3.72124          243.808      
                3.77535          248.394      
                3.82909          252.705      
                3.8825           256.215      
                3.93561          259.364      
                3.9883           262.029      
                4.04056          264.28       
                4.09241          266.122      
                4.14383          267.435      
                4.1948           268.23       
                4.2453           268.449      
                4.2953           267.922      
                4.3448           266.782      
                4.39373          264.965      
                4.44216          262.764      
                4.49003          260.206      
                4.53733          257.624      
                4.58403          254.877      
                4.63012          252.014      
                4.67558          249.211      
                4.72039          246.421      
                4.7645           243.306      
                4.80799          240.843      
                4.85078          241.801      
                4.89287          246.492      
                4.93425          252.324      
                4.9749           258.596      
                5.0148           264.561      
                5.05396          269.309      
                5.09231          273.034      
                5.12994          275.978      
                5.16675          278.722      
                5.20311          278.982      
                5.23865          278.884      
                5.27336          278.572      
                5.30725          277.429      
                5.34031          276.789      
                5.37251          275.692      
                5.40387          274.189      
                5.43438          274.308      
                5.46402          274.365      
                5.49278          274.231      
                5.52068          274.957      
                5.5477           276.761      
                5.57384          280.21       
                5.5991           284.345      
                5.6235           289.404      
                5.64703          294.052      
                5.66969          299.232      
                5.69146          304.642      
                5.71238          309.435      
                5.73245          314.227      
                5.75167          319.094      
                5.77002          324.357      
                5.78748          330.548      
                5.80399          338.026      
                5.81969          345.362      
                5.83461          352.468      
                5.84876          359.445      
                5.86213          367.196      
                5.87475          374.207      
                5.88659          380.377      
                5.89768          386.9        
                5.90804          393.175      
                5.91769          398.979      
                5.92664          403.506      
                5.93491          409.11       
                5.94251          413.281      
                5.94946          418.324      
                5.95581          422.925      
                5.96154          427.37       
                5.96674          430.866      
                5.97133          434.848      
                5.97545          437.968      
                5.97903          440.999      
                5.98214          443.78       
                5.98482          446.439      
                5.98708          448.506      
                5.98895          450.134      
                5.99045          451.658      
                5.99163          452.433      
                5.99253          453.58       
                5.99325          454.277      
                5.99361          454.772      
                5.99397          455.139      
                5.99402          455.165      
                5.99402          455.205      
                5.99402          455.202      




