topology,N,rho_rel_sim,sea_exp_mean,sea_exp_std,n_exp_specimens,sea_ns4,sea_ns3,w_exp_mean
Auxetic,1,0.258474,,,0,5.06527,5.75206,
Auxetic,2,0.258475,1.3881,0.200097,3,5.29165,3.82423,0.358789
Auxetic,3,0.258475,0.946951,0.027646,3,4.91406,3.01769,0.244763
Auxetic,4,0.258475,0.690643,0.0635619,3,4.44698,2.20545,0.178514
Auxetic,5,0.258476,0.782431,0.0389638,3,4.32199,1.98619,0.202239
BCC,1,0.178465,0.261639,0.010815,3,3.52468,3.39777,0.0466933
BCC,2,0.178464,0.51569,0.0509225,3,1.94343,1.94706,0.092032
BCC,3,0.178464,0.704665,0.0120924,3,1.81294,,0.125757
BCC,4,0.178464,,,0,1.73882,1.73942,
BCC,5,0.178464,0.74287,0.00957363,2,1.69936,,0.132576
Iso_truss,1,0.307013,2.86443,0.119617,3,5.1013,5.10038,0.879417
Iso_truss,2,0.310681,2.82822,0.460977,3,4.87455,4.82007,0.878673
Iso_truss,3,0.311903,2.64534,0.0789549,3,4.9371,4.93752,0.825088
Iso_truss,4,0.312513,2.86771,0.1463,3,4.9554,4.94742,0.896198
Iso_truss,5,0.31288,2.34932,0.293814,2,4.97586,4.97943,0.735054
Kelvin,1,0.208456,1.44987,0.0979816,3,2.6564,2.37631,0.302236
Kelvin,2,0.208456,1.98255,0.0360498,3,3.23213,3.03289,0.413275
Kelvin,3,0.208455,1.8211,0.128866,3,3.4294,3.26812,0.379617
Kelvin,4,0.208456,2.14839,0.0693156,3,3.51641,3.37244,0.447845
Kelvin,5,0.208456,2.0118,0.0946634,2,3.58388,3.4466,0.419372
Octet_truss,1,0.378636,2.47944,0.0801814,3,5.16338,5.04869,0.938804
Octet_truss,2,0.378638,2.05926,0.0437765,3,5.05934,4.9671,0.779712
Octet_truss,3,0.378638,2.58417,0.158438,3,4.98877,4.91339,0.978466
Octet_truss,4,0.37864,2.68328,0.255086,3,4.96839,4.88335,1.016
Octet_truss,5,0.378641,2.66986,0.114789,3,4.95433,4.87093,1.01092
