source,session,subarea,topology,topology_raw,N,slider,variant,repeat_tag,compression_pct,status,density,num_specimens,relative_path,source_path
experiment,20260422,,Auxetic,Auxetic,1,8,,one_sample,,partial,,1,experiment/20260422/Auxetic/N1_slider8_one_sample/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_1_8 one sample.csv
experiment,20260422,,Auxetic,Auxetic,1,4,,remove2,,partial,,2,experiment/20260422/Auxetic/N1_slider4_remove2/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_1_4 remove 2.csv
experiment,20260422,,Auxetic,Auxetic,2,4,,,,successful,,3,experiment/20260422/Auxetic/N2_slider4/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_2_4.csv
experiment,20260422,,Auxetic,Auxetic,2,8,,,,successful,,3,experiment/20260422/Auxetic/N2_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_2_8.csv
experiment,20260422,,Auxetic,Auxetic,3,4,,,,successful,,3,experiment/20260422/Auxetic/N3_slider4/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_3_4.csv
experiment,20260422,,Auxetic,Auxetic,3,8,,,,successful,,3,experiment/20260422/Auxetic/N3_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_3_8.csv
experiment,20260422,,Auxetic,Auxetic,4,8,,,,successful,,3,experiment/20260422/Auxetic/N4_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_4_8.csv
experiment,20260422,,Auxetic,Auxetic,4,4,,wrong_dir,,flagged,,3,experiment/20260422/Auxetic/N4_slider4_wrong_dir/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_4_4 wrong print direction.csv
experiment,20260422,,Auxetic,Auxetic,5,8,,,,successful,,3,experiment/20260422/Auxetic/N5_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_5_8.csv
experiment,20260422,,Auxetic,Auxetic,5,4,,r1,,successful,,3,experiment/20260422/Auxetic/N5_slider4_r1/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_5_4-1.csv
experiment,20260422,,Auxetic,Auxetic,5,4,,r2,,successful,,3,experiment/20260422/Auxetic/N5_slider4_r2/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Auxetic_5_4-2.csv
experiment,20260422,,BCC,BCC,1,8,,,,successful,,3,experiment/20260422/BCC/N1_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/BCC_1_8.csv
experiment,20260422,,BCC,BCC,2,8,,,,successful,,3,experiment/20260422/BCC/N2_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/BCC_2_8.csv
experiment,20260422,,BCC,BCC,3,8,,,,successful,,3,experiment/20260422/BCC/N3_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/BCC_3_8.csv
experiment,20260422,,BCC,BCC,5,8,,r1,,successful,,3,experiment/20260422/BCC/N5_slider8_r1/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/BCC_5_8-1.csv
experiment,20260422,,BCC,BCC,5,8,,r2,,successful,,3,experiment/20260422/BCC/N5_slider8_r2/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/BCC_5_8-2.csv
experiment,20260422,,Iso_truss,Isotruss,1,8,,,,successful,,3,experiment/20260422/Iso_truss/N1_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Isotruss_1_8.csv
experiment,20260422,,Iso_truss,Isotruss,2,8,,,,successful,,3,experiment/20260422/Iso_truss/N2_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Isotruss_2_8.csv
experiment,20260422,,Iso_truss,Isotruss,3,8,,,,successful,,3,experiment/20260422/Iso_truss/N3_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Isotruss_3_8.csv
experiment,20260422,,Iso_truss,Isotruss,4,8,,,,successful,,3,experiment/20260422/Iso_truss/N4_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Isotruss_4_8.csv
experiment,20260422,,Iso_truss,Isotruss,5,8,,r1,,successful,,3,experiment/20260422/Iso_truss/N5_slider8_r1/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Isotruss_5_8-1.csv
experiment,20260422,,Iso_truss,Isotruss,5,8,,r2,,successful,,3,experiment/20260422/Iso_truss/N5_slider8_r2/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Isotruss_5_8-2.csv
experiment,20260422,,Kelvin,Kelvin,1,4,,,,successful,,3,experiment/20260422/Kelvin/N1_slider4/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_1_4.csv
experiment,20260422,,Kelvin,Kelvin,1,8,,,,successful,,3,experiment/20260422/Kelvin/N1_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_1_8.csv
experiment,20260422,,Kelvin,Kelvin,2,4,,,,successful,,3,experiment/20260422/Kelvin/N2_slider4/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_2_4.csv
experiment,20260422,,Kelvin,Kelvin,2,8,,,,successful,,3,experiment/20260422/Kelvin/N2_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_2_8.csv
experiment,20260422,,Kelvin,Kelvin,3,4,,,,successful,,3,experiment/20260422/Kelvin/N3_slider4/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_3_4.csv
experiment,20260422,,Kelvin,Kelvin,3,8,,,,successful,,3,experiment/20260422/Kelvin/N3_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_3_8.csv
experiment,20260422,,Kelvin,Kelvin,4,4,,,,successful,,3,experiment/20260422/Kelvin/N4_slider4/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_4_4.csv
experiment,20260422,,Kelvin,Kelvin,4,8,,,,successful,,3,experiment/20260422/Kelvin/N4_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_4_8.csv
experiment,20260422,,Kelvin,Kelvin,5,4,,r1,,successful,,3,experiment/20260422/Kelvin/N5_slider4_r1/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_5_4-1.csv
experiment,20260422,,Kelvin,Kelvin,5,8,,r1,,successful,,3,experiment/20260422/Kelvin/N5_slider8_r1/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_5_8-1.csv
experiment,20260422,,Kelvin,Kelvin,5,4,,r2,,successful,,3,experiment/20260422/Kelvin/N5_slider4_r2/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_5_4-2.csv
experiment,20260422,,Kelvin,Kelvin,5,8,,r2,,successful,,3,experiment/20260422/Kelvin/N5_slider8_r2/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Kelvin_5_8-2.csv
experiment,20260422,,Octet_truss,Octettruss,1,8,,,,successful,,3,experiment/20260422/Octet_truss/N1_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Octettruss_1_8.csv
experiment,20260422,,Octet_truss,Octettruss,2,8,,,,successful,,3,experiment/20260422/Octet_truss/N2_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Octettruss_2_8.csv
experiment,20260422,,Octet_truss,Octettruss,3,8,,,,successful,,3,experiment/20260422/Octet_truss/N3_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Octettruss_3_8.csv
experiment,20260422,,Octet_truss,Octettruss,4,8,,,,successful,,3,experiment/20260422/Octet_truss/N4_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Octettruss_4_8.csv
experiment,20260422,,Octet_truss,Octettruss,5,8,,,,successful,,3,experiment/20260422/Octet_truss/N5_slider8/data.csv,/home/haoyu.wang/ARTC_Database_final/generate_script/realexperiment/raw data/Octettruss_5_8.csv
simulation,NewSession2,N2_calibration,AFCC,AFCC,2,8,,,60,successful,0.211945834354,1,simulation/NewSession2/N2_calibration/AFCC/N2/feature_data.txt,/home/haoyu.wang/ARTC_Database_final/generate_script/NewSession2/N2_calibration/AFCC/AFCC_5_0p5_8_StaCompre_2x2x2/feature_data.txt
simulation,NewSession2,N2_calibration,Auxetic,Auxetic,2,8,,,60,successful,0.21241804993,1,simulation/NewSession2/N2_calibration/Auxetic/N2/feature_data.txt,/home/haoyu.wang/ARTC_Database_final/generate_script/NewSession2/N2_calibration/Auxetic/Auxetic_5_0p5_8_StaCompre_2x2x2/feature_data.txt
simulation,NewSession2,N2_calibration,BCC,BCC,2,8,,,60,successful,0.178463988608,1,simulation/NewSession2/N2_calibration/BCC/N2/feature_data.txt,/home/haoyu.wang/ARTC_Database_final/generate_script/NewSession2/N2_calibration/BCC/BCC_5_0p5_8_StaCompre_2x2x2/feature_data.txt
simulation,NewSession2,N2_calibration,BCCZ,BCCZ,2,8,,,60,successful,0.199889766412,1,simulation/NewSession2/N2_calibration/BCCZ/N2/feature_data.txt,/home/haoyu.wang/ARTC_Database_final/generate_script/NewSession2/N2_calibration/BCCZ/BCCZ_5_0p5_8_StaCompre_2x2x2/feature_data.txt
simulation,NewSession2,N2_calibration,CBCC,CBCC,2,8,,,60,successful,0.242738628759,1,simulation/NewSession2/N2_calibration/CBCC/N2/feature_data.txt,/home/haoyu.wang/ARTC_Database_final/generate_script/NewSession2/N2_calibration/CBCC/CBCC_5_0p5_8_StaCompre_2x2x2/feature_data.txt
simulation,NewSession2,N2_calibration,Cubic,Cubic,2,8,,,60,successful,0.0829354706001,1,simulation/NewSession2/N2_calibration/Cubic/N2/feature_data.txt,/home/haoyu.wang/ARTC_Database_final/generate_script/NewSession2/N2_calibration/Cubic/Cubic_5_0p5_8_StaCompre_2x2x2/feature_data.txt
simulation,NewSession2,N2_calibration,CubicRosette,CubicRosette,2,8,,,60,successful,0.204754713353,1,simulation/NewSession2/N2_calibration/CubicRosette/N2/feature_data.txt,/home/haoyu.wang/ARTC_Database_final/generate_script/NewSession2/N2_calibration/CubicRosette/CubicRosette_5_0p5_8_StaCompre_2x2x2/feature_data.txt
simulation,NewSession2,N2_calibration,Cuboctahedron_Z,Cuboctahedron_Z,2,8,,,60,successful,0.397823440506,1,simulation/NewSession2/N2_calibration/Cuboctahedron_Z/N2/feature_data.txt,/home/haoyu.wang/ARTC_Database_final/generate_script/NewSession2/N2_calibration/Cuboctahedron_Z/Cuboctahedron_Z_5_0p5_8_StaCompre_2x2x2/feature_data.txt
