session,topology,N,density,strain_length,stress_area,eps_max,excluded,W_eps0.1,SEA_eps0.1,W_eps0.25,SEA_eps0.25,W_eps0.5,SEA_eps0.5
NS4,AFCC,1,0.213061,5,25,0.599934,False,0.258858,1.21495,0.672603,3.15686,1.27215,5.97085
NS3_baseline,AFCC,1,0.211946,5,25,0.60158,False,0.232205,1.09559,0.563689,2.65959,1.03669,4.89132
NS4,AFCC,2,0.21306,10,100,0.599689,False,0.268656,1.26094,0.787121,3.69436,1.66464,7.81301
NS3_baseline,AFCC,2,0.211946,10,100,0.600732,False,0.255883,1.2073,0.735879,3.47202,1.54524,7.29073
NS4,AFCC,3,0.213061,15,225,0.599451,False,0.268198,1.25878,0.814985,3.82513,1.73565,8.14628
NS3_baseline,AFCC,3,0.211947,15,225,0.604805,False,0.25823,1.21837,0.769957,3.63278,1.63523,7.71531
NS4,AFCC,4,0.213061,20,400,0.599265,False,0.266865,1.25253,0.818375,3.84104,1.78901,8.3967
NS3_baseline,AFCC,4,0.211947,20,400,0.60005,False,0.263473,1.24311,0.814535,3.84311,1.77248,8.36284
NS4,AFCC,5,0.21306,25,625,0.5998,False,0.266431,1.2505,0.825857,3.87618,1.79683,8.43344
NS3_baseline,AFCC,5,0.211946,25,625,0.600788,False,0.26313,1.24149,0.821393,3.87548,1.78538,8.42376
NS4,Auxetic,1,0.258474,5,25,0.599856,False,0.415274,1.60663,1.30924,5.06527,3.15292,12.1982
NS4,Auxetic,2,0.258475,10,100,0.600355,False,0.463921,1.79484,1.36776,5.29165,3.20605,12.4037
NS3_baseline,Auxetic,2,0.212418,10,100,0.600076,False,0.363613,1.71178,0.812336,3.82423,1.5571,7.33035
NS2_orig6,Auxetic,2,0.212418,10,100,0.600076,False,0.363613,1.71178,0.812336,3.82423,1.5571,7.33035
NS4,Auxetic,3,0.258475,15,225,0.600299,False,0.478663,1.85187,1.27016,4.91406,2.78833,10.7876
NS3_baseline,Auxetic,3,0.212418,15,225,0.600777,False,0.312031,1.46895,0.64101,3.01769,1.25152,5.89177
NS2_orig6,Auxetic,3,0.212418,15,225,0.600777,False,0.312031,1.46895,0.64101,3.01769,1.25152,5.89177
NS4,Auxetic,4,0.258475,20,400,0.599675,False,0.477071,1.84572,1.14943,4.44698,2.587,10.0087
NS3_baseline,Auxetic,4,0.212418,20,400,0.600615,False,0.239265,1.12639,0.468478,2.20545,1.05764,4.97903
NS2_orig6,Auxetic,4,0.212418,20,400,0.600615,False,0.239265,1.12639,0.468478,2.20545,1.05764,4.97903
NS4,Auxetic,5,0.258476,25,625,0.559396,False,0.469323,1.81574,1.11713,4.32199,2.54567,9.8488
NS3_baseline,Auxetic,5,0.212419,25,625,0.596136,False,0.212447,1.00013,0.421904,1.98619,1.0034,4.72367
NS2_orig6,Auxetic,5,0.212419,25,625,0.596136,False,0.212447,1.00013,0.421904,1.98619,1.0034,4.72367
NS4,BCC,1,0.178465,5,25,0.600136,False,0.185409,1.03891,0.629031,3.52468,1.33694,7.49133
NS4,BCC,2,0.178464,10,100,0.599577,False,0.101659,0.569636,0.346832,1.94343,0.974185,5.45872
NS3_baseline,BCC,2,0.178464,10,100,0.599844,False,0.101706,0.569896,0.34748,1.94706,0.975696,5.46719
NS2_orig6,BCC,2,0.178464,10,100,0.599671,False,0.0969718,0.543369,0.327852,1.83708,0.922443,5.16879
NS4,BCC,3,0.178464,15,225,0.599481,False,0.0910923,0.510424,0.323544,1.81294,0.873467,4.89436
NS2_orig6,BCC,3,0.178464,15,225,0.599379,False,0.0866088,0.485301,0.304635,1.70698,0.830025,4.65093
NS4,BCC,4,0.178464,20,400,0.599895,False,0.0858066,0.480806,0.310317,1.73882,0.818104,4.58414
NS3_baseline,BCC,4,0.178464,20,400,0.60022,False,0.0858568,0.481087,0.310424,1.73942,0.814053,4.56144
NS2_orig6,BCC,4,0.178464,20,400,0.572635,False,0.0816335,0.457423,0.292999,1.64178,0.776045,4.34847
NS4,BCC,5,0.178464,25,625,0.601328,False,0.0833372,0.466969,0.303275,1.69936,0.79022,4.4279
NS2_orig6,BCC,5,0.178464,25,625,0.58422,False,0.0791357,0.443426,0.285829,1.60161,0.748172,4.19228
NS4,BCCZ,1,0.199889,5,25,0.600148,False,0.302978,1.51573,0.937727,4.69123,1.91426,9.57662
NS3_baseline,BCCZ,1,0.199889,5,25,0.600784,False,0.28071,1.40433,0.846151,4.2331,1.71086,8.55902
NS4,BCCZ,2,0.19989,10,100,0.599637,False,0.239626,1.19879,0.763279,3.8185,1.84964,9.25329
NS3_baseline,BCCZ,2,0.19989,10,100,0.599843,False,0.239558,1.19845,0.763826,3.82124,1.85893,9.29979
NS4,BCCZ,3,0.19989,15,225,0.482135,False,0.233222,1.16675,0.756506,3.78462,,
NS3_baseline,BCCZ,3,0.19989,15,225,0.599699,False,0.233449,1.16789,0.757538,3.78978,1.83519,9.18099
NS4,BCCZ,4,0.19989,20,400,0.599875,False,0.230939,1.15533,0.763762,3.82091,1.85105,9.26035
NS3_baseline,BCCZ,4,0.19989,20,400,0.600035,False,0.230794,1.1546,0.76414,3.8228,1.8617,9.31359
NS4,BCCZ,5,0.19989,25,625,0.415048,False,0.229482,1.14804,0.761826,3.81122,,
NS3_baseline,BCCZ,5,0.19989,25,625,0.59992,False,0.229732,1.14929,0.770725,3.85574,1.88362,9.42325
NS4,CBCC,1,0.242739,5,25,0.600256,True,0.320215,1.31918,0.99493,4.09877,2.02884,8.35814
NS3_baseline,CBCC,1,0.242739,5,25,0.599954,True,0.298652,1.23034,0.908578,3.74303,1.83267,7.54996
NS4,CBCC,2,0.242739,10,100,0.599594,True,0.289156,1.19122,0.908685,3.74347,2.11504,8.71324
NS3_baseline,CBCC,2,0.242739,10,100,0.600741,True,0.273887,1.12832,0.832762,3.43069,1.95399,8.04978
NS4,CBCC,3,0.242739,15,225,0.599381,True,0.284957,1.17392,0.918963,3.78581,2.14571,8.83958
NS3_baseline,CBCC,3,0.242739,15,225,0.599135,True,0.284441,1.1718,0.819786,3.37724,1.71766,7.07619
NS4,CBCC,4,0.242739,20,400,0.508905,True,0.28331,1.16714,0.926192,3.81559,2.18144,8.98677
NS3_baseline,CBCC,4,0.242739,20,400,0.598375,True,0.283257,1.16692,0.83284,3.43102,1.74026,7.16929
NS4,CBCC,5,0.242739,25,625,0.529876,True,0.282678,1.16454,0.931337,3.83679,2.21048,9.10642
NS4,Cubic,1,0.0829342,5,25,0.60001,True,0.101431,1.22303,0.256311,3.09054,0.451423,5.44314
NS3_baseline,Cubic,1,0.0829342,5,25,0.600092,True,0.0856584,1.03285,0.197996,2.38739,0.341422,4.11679
NS4,Cubic,2,0.0829351,10,100,0.599831,True,0.0644343,0.776924,0.128651,1.55123,0.216704,2.61293
NS3_baseline,Cubic,2,0.0829355,10,100,0.598111,True,0.058769,0.708611,0.117577,1.41769,0.197227,2.37808
NS4,Cubic,3,0.0829358,15,225,0.599827,True,0.0616842,0.743759,0.124088,1.4962,0.216486,2.61029
NS3_baseline,Cubic,3,0.0829358,15,225,0.597427,True,0.0573082,0.690994,0.116646,1.40646,0.21869,2.63686
NS4,Cubic,4,0.0829358,20,400,0.60051,True,0.0592027,0.713837,0.119662,1.44283,0.234092,2.82256
NS3_baseline,Cubic,4,0.0829358,20,400,0.597545,True,0.0557291,0.671955,0.113579,1.36948,0.224518,2.70713
NS4,Cubic,5,0.0829359,25,625,0.60064,True,0.0576607,0.695244,0.12555,1.51382,0.229025,2.76147
NS3_baseline,Cubic,5,0.0829359,25,625,0.59938,True,0.0579842,0.699144,0.11849,1.4287,0.238115,2.87108
NS4,CubicRosette,1,0.213555,5,25,0.600036,False,0.105077,0.492037,0.331615,1.55283,0.703682,3.29509
NS3_baseline,CubicRosette,1,0.204754,5,25,0.600212,False,0.08865,0.432958,0.294433,1.43798,0.626898,3.06171
NS4,CubicRosette,2,0.213552,10,100,0.600374,False,0.201835,0.945134,0.652519,3.05555,1.49877,7.01827
NS3_baseline,CubicRosette,2,0.204755,10,100,0.600219,False,0.179502,0.876667,0.565207,2.76041,1.23353,6.02444
NS4,CubicRosette,3,0.213547,15,225,0.599557,False,0.229115,1.0729,0.745807,3.49246,1.74331,8.16357
NS3_baseline,CubicRosette,3,0.204755,15,225,0.594119,False,0.205403,1.00316,0.653854,3.19335,1.43638,7.01512
NS4,CubicRosette,4,0.213543,20,400,0.59838,False,0.243167,1.13873,0.793686,3.71675,1.8242,8.54257
NS3_baseline,CubicRosette,4,0.204753,20,400,0.6008,False,0.219439,1.07172,0.697716,3.40759,1.54056,7.524
NS4,CubicRosette,5,0.213547,25,625,0.435632,False,0.252182,1.18092,0.826201,3.86895,,
NS3_baseline,CubicRosette,5,0.204757,25,625,0.598828,False,0.227909,1.11307,0.73679,3.59837,1.63991,8.00904
NS4,Cuboctahedron_Z,1,0.397824,5,25,0.600128,False,0.729852,1.83461,2.46476,6.19562,6.15118,15.4621
NS3_baseline,Cuboctahedron_Z,1,0.397824,5,25,0.599752,False,0.719588,1.80881,2.42098,6.08556,5.97402,15.0168
NS4,Cuboctahedron_Z,2,0.399046,10,100,0.599764,False,0.726891,1.82157,2.40467,6.02605,5.72814,14.3546
NS3_baseline,Cuboctahedron_Z,2,0.397823,10,100,0.481304,False,0.722036,1.81497,2.37639,5.97347,,
NS4,Cuboctahedron_Z,3,0.399456,15,225,0.599686,False,0.723779,1.81191,2.38359,5.96709,5.70351,14.2782
NS3_baseline,Cuboctahedron_Z,3,0.397826,15,225,0.524389,False,0.718861,1.80697,2.36211,5.93753,5.65018,14.2026
NS4,Cuboctahedron_Z,4,0.39966,20,400,0.60049,False,0.723012,1.80907,2.38112,5.95786,5.68085,14.2142
NS3_baseline,Cuboctahedron_Z,4,0.397826,20,400,0.599615,False,0.71717,1.80272,2.35754,5.92606,5.62807,14.147
NS4,Cuboctahedron_Z,5,0.399781,25,625,0.598844,False,0.722162,1.80639,2.37828,5.94895,5.67442,14.1938
NS4,Diamond,1,0.113973,5,25,0.60021,False,0.112462,0.986746,0.289539,2.54042,0.50259,4.40974
NS3_baseline,Diamond,1,0.113973,5,25,0.598246,False,0.0973978,0.85457,0.228112,2.00146,0.390342,3.42487
NS4,Diamond,2,0.165409,10,100,0.600342,False,0.168935,1.02132,0.538323,3.2545,1.14933,6.94841
NS3_baseline,Diamond,2,0.165338,10,100,0.599551,False,0.16632,1.00594,0.517954,3.1327,1.08381,6.55514
NS4,Diamond,3,0.181311,15,225,0.599939,False,0.202413,1.11639,0.644891,3.55683,1.41906,7.82667
NS3_baseline,Diamond,3,0.18127,15,225,0.596728,False,0.201721,1.11282,0.631836,3.48561,1.37052,7.56066
NS4,Diamond,4,0.189094,20,400,0.600255,False,0.219168,1.15904,0.699502,3.69923,1.53149,8.09912
NS3_baseline,Diamond,4,0.189067,20,400,0.600135,False,0.218324,1.15474,0.69885,3.6963,1.5305,8.09499
NS4,Diamond,5,0.193718,25,625,0.599648,False,0.228552,1.17982,0.72907,3.76356,1.60009,8.25991
NS3_baseline,Diamond,5,0.1937,25,625,0.60158,False,0.227832,1.17621,0.728199,3.75941,1.60051,8.26281
NS4,DiamondPlus,1,0.274762,5,25,0.599908,False,0.374126,1.36164,1.24719,4.53917,3.06291,11.1475
NS3_baseline,DiamondPlus,1,0.183814,5,25,0.598268,False,0.184907,1.00595,0.547473,2.97841,1.02151,5.55733
NS4,DiamondPlus,2,0.323901,10,100,0.600519,False,0.426116,1.31557,1.44245,4.45337,3.67704,11.3524
NS3_baseline,DiamondPlus,2,0.234666,10,100,0.599131,False,0.26395,1.12479,0.866216,3.69127,2.02298,8.62067
NS4,DiamondPlus,3,0.339039,15,225,0.600725,False,0.456125,1.34535,1.53577,4.52978,3.87876,11.4405
NS3_baseline,DiamondPlus,3,0.250427,15,225,0.602376,False,0.30264,1.2085,0.988499,3.94725,2.26094,9.02832
NS4,DiamondPlus,4,0.346438,20,400,0.57275,False,0.472036,1.36254,1.58385,4.57181,3.97321,11.4687
NS3_baseline,DiamondPlus,4,0.258141,20,400,0.600445,False,0.324955,1.25883,1.06406,4.12202,2.4647,9.54787
NS3_baseline,DiamondPlus,5,0.262724,25,625,0.599764,False,0.336505,1.28083,1.10334,4.19963,2.54091,9.67142
NS4,FBCCXYZ,1,0.407907,5,25,0.599928,False,0.63506,1.55687,1.97809,4.84935,5.28154,12.9479
NS3_baseline,FBCCXYZ,1,0.407907,5,25,0.599998,False,0.609967,1.49536,1.8152,4.45003,4.87164,11.943
NS4,FBCCXYZ,2,0.407908,10,100,0.600295,False,0.635939,1.55902,2.06776,5.06919,5.79784,14.2136
NS3_baseline,FBCCXYZ,2,0.407908,10,100,0.596898,False,0.619576,1.51891,1.95883,4.80213,5.56948,13.6538
NS4,FBCCXYZ,3,0.407909,15,225,0.600262,False,0.633925,1.55409,2.09566,5.13758,5.91735,14.5066
NS3_baseline,FBCCXYZ,3,0.407909,15,225,0.600791,False,0.619733,1.51929,2.0054,4.9163,5.7296,14.0463
NS4,FBCCXYZ,4,0.407909,20,400,0.60016,False,0.631894,1.54911,2.10118,5.1511,5.9599,14.6109
NS3_baseline,FBCCXYZ,4,0.407909,20,400,0.59945,False,0.631949,1.54924,2.10109,5.15087,5.99314,14.6924
NS4,FBCCXYZ,5,0.407909,25,625,0.5932,False,0.630803,1.54643,2.10256,5.15449,5.99093,14.6869
NS4,FBCCZ,1,0.267205,5,25,0.600056,False,0.345834,1.29426,1.13885,4.26209,2.38157,8.9129
